Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
        Total area actually reporting,100.0%,"2,597",27,129,651,"1,790","17,373","4,702","10,715","1,956",,,,,,,
"        Rate per 100,000 inhabitants",,536.2,5.6,26.6,134.4,369.6,"3,586.9",970.8,"2,212.3",403.8,,,,,,,
"Carson City, NV M.S.A.","56,002", ,,,,, ,,,,,,,,,,
    (Includes Carson City.),,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,265,0,1,24,240,"1,807",430,"1,214",163,,,,,,,
"        Rate per 100,000 inhabitants",,473.2,0.0,1.8,42.9,428.6,"3,226.7",767.8,"2,167.8",291.1,,,,,,,
"Casper, WY M.S.A.","67,679", ,,,,, ,,,,,,,,,,
    (Includes Natrona County.),,,,,,,,,,,,,,,,,
        City of Casper,"50,279",125,4,15,15,91,"2,768",464,"2,141",163,,,,,,,
        Total area actually reporting,100.0%,157,5,16,17,119,"3,521",676,"2,619",226,,,,,,,
"        Rate per 100,000 inhabitants",,232.0,7.4,23.6,25.1,175.8,"5,202.5",998.8,"3,869.7",333.9,,,,,,,
"Cedar Rapids, IA M.S.A.","242,086", ,,,,, ,,,,,,,,,,
"    (Includes Benton, Jones, and Linn Counties.)",,,,,,,,,,,,,,,,,
        City of Cedar Rapids,"122,819",387,4,46,100,237,"6,456","1,110","5,046",300,,,,,,,
        Total area actually reporting,96.1%,488,4,58,107,319,"7,732","1,450","5,902",380,,,,,,,
        Estimated total,100.0%,506,4,60,109,333,"8,002","1,496","6,116",390,,,,,,,
"        Rate per 100,000 inhabitants",,209.0,1.7,24.8,45.0,137.6,"3,305.4",618.0,"2,526.4",161.1,,,,,,,
"Charleston-North Charleston, SC M.S.A.","568,142",,,,,,,,,,,,,,,,
"    (Includes Berkeley, Charleston, and Dorchester Counties.)",, ,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Charleston,"99,756",879,15,33,245,586,"5,022",888,"3,572",562,,,,,,,
            North Charleston,"81,476","1,336",12,96,417,811,"6,754","1,374","4,428",952,,,,,,,
        Total area actually reporting,100.0%,"4,626",52,286,"1,016","3,272","24,812","5,325","16,668","2,819",,,,,,,
"        Rate per 100,000 inhabitants",,814.2,9.2,50.3,178.8,575.9,"4,367.2",937.3,"2,933.8",496.2,,,,,,,
"Charlottesville, VA M.S.A.","181,201", ,,,,, ,,,,,,,,,,
"    (Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City.)",,,,,,,,,,,,,,,,,
        City of Charlottesville,"44,391",303,1,20,71,211,"1,572",195,"1,229",148,,,,,,,
        Total area actually reporting,100.0%,498,10,71,96,321,"4,083",528,"3,265",290,,,,,,,
"        Rate per 100,000 inhabitants",,274.8,5.5,39.2,53.0,177.2,"2,253.3",291.4,"1,801.9",160.0,,,,,,,
"Chattanooga, TN-GA M.S.A.","487,287", ,,,,, ,,,,,,,,,,
"    (Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN.)",,,,,,,,,,,,,,,,,
"        City of Chattanooga, TN","156,596","1,973",19,89,464,"1,401","13,087","2,357","9,306","1,424",,,,,,,
        Total area actually reporting,100.0%,"2,918",31,146,574,"2,167","22,494","4,374","15,929","2,191",,,,,,,
"        Rate per 100,000 inhabitants",,598.8,6.4,30.0,117.8,444.7,"4,616.2",897.6,"3,268.9",449.6,,,,,,,
"Cheyenne, WY M.S.A.","83,315", ,,,,, ,,,,,,,,,,
    (Includes Laramie County.),,,,,,,,,,,,,,,,,
        City of Cheyenne,"53,931",110,0,23,24,63,"2,465",258,"2,095",112,,,,,,,
        Total area actually reporting,100.0%,181,1,35,29,116,"3,008",376,"2,487",145,,,,,,,
"        Rate per 100,000 inhabitants",,217.2,1.2,42.0,34.8,139.2,"3,610.4",451.3,"2,985.1",174.0,,,,,,,
"Chico, CA M.S.A.","211,398", ,,,,, ,,,,,,,,,,
    (Includes Butte County.),,,,,,,,,,,,,,,,,
        City of Chico,"66,595",265,1,47,63,154,"2,622",818,"1,378",426,,,,,,,
        Total area actually reporting,100.0%,741,9,104,129,499,"8,221","2,538","4,403","1,280",,,,,,,
"        Rate per 100,000 inhabitants",,350.5,4.3,49.2,61.0,236.0,"3,888.9","1,200.6","2,082.8",605.5,,,,,,,
"Cincinnati-Middletown, OH-KY-IN M.S.A.","2,045,569",,,,,,,,,,,,,,,,
"    (Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH.) ",,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
"            Cincinnati, OH","324,297","3,643",71,307,"2,184","1,081","24,167","5,922","14,796","3,449",,,,,,,
"            Middletown, OH","51,250",166,0,23,64,79,"3,421",700,"2,562",159,,,,,,,
        Total area actually reporting,80.1%,"6,476",90,761,"3,046","2,579","66,018","13,331","46,594","6,093",,,,,,,
        Estimated total,100.0%,"7,838",105,949,"3,460","3,324","84,576","16,900","60,724","6,952",,,,,,,
"        Rate per 100,000 inhabitants",,383.2,5.1,46.4,169.1,162.5,"4,134.6",826.2,"2,968.6",339.9,,,,,,,
"Clarksville, TN-KY M.S.A.","236,561", ,,,,, ,,,,,,,,,,
"    (Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN.)",,,,,,,,,,,,,,,,,
"        City of Clarksville, TN","106,710",636,2,45,102,487,"5,444","1,058","4,167",219,,,,,,,
        Total area actually reporting,76.7%,934,6,75,171,682,"8,137","1,876","5,903",358,,,,,,,
        Estimated total,100.0%,"1,067",7,100,195,765,"9,492","2,179","6,886",427,,,,,,,
"        Rate per 100,000 inhabitants",,451.0,3.0,42.3,82.4,323.4,"4,012.5",921.1,"2,910.9",180.5,,,,,,,
"Cleveland, TN M.S.A.","106,631", ,,,,, ,,,,,,,,,,
    (Includes Bradley and Polk Counties.),,,,,,,,,,,,,,,,,
        City of Cleveland,"37,667",310,3,10,30,267,"2,099",452,"1,518",129,,,,,,,
        Total area actually reporting,100.0%,545,6,24,36,479,"3,498",893,"2,342",263,,,,,,,
"        Rate per 100,000 inhabitants",,511.1,5.6,22.5,33.8,449.2,"3,280.5",837.5,"2,196.4",246.6,,,,,,,
"Coeur d'Alene, ID M.S.A.","116,095", ,,,,, ,,,,,,,,,,
    (Includes Kootenai County.),,,,,,,,,,,,,,,,,
        City of Coeur d'Alene,"36,940",203,1,28,16,158,"2,021",354,"1,552",115,,,,,,,
        Total area actually reporting,100.0%,383,1,65,26,291,"4,085",919,"2,922",244,,,,,,,
"        Rate per 100,000 inhabitants",,329.9,0.9,56.0,22.4,250.7,"3,518.7",791.6,"2,516.9",210.2,,,,,,,
"College Station-Bryan, TX M.S.A.","191,955",,,,,,,,,,,,,,,,
"    (Includes Brazos, Burleson, and Robertson Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            College Station,"71,647",164,2,40,17,105,"2,762",384,"2,276",102,,,,,,,
            Bryan,"67,706",611,2,81,85,443,"4,110",971,"2,963",176,,,,,,,
        Total area actually reporting,100.0%,958,7,143,115,693,"8,589","1,816","6,431",342,,,,,,,
"        Rate per 100,000 inhabitants",,499.1,3.6,74.5,59.9,361.0,"4,474.5",946.1,"3,350.3",178.2,,,,,,,
"Colorado Springs, CO M.S.A.","570,942", ,,,,, ,,,,,,,,,,
    (Includes El Paso and Teller Counties.),,,,,,,,,,,,,,,,,
        City of Colorado Springs,"374,818","1,730",16,242,421,"1,051","18,517","3,360","13,338","1,819",,,,,,,
        Total area actually reporting,99.7%,"2,005",21,262,448,"1,274","22,147","4,151","15,867","2,129",,,,,,,
        Estimated total,100.0%,"2,010",21,263,449,"1,277","22,223","4,163","15,922","2,138",,,,,,,
"        Rate per 100,000 inhabitants",,352.0,3.7,46.1,78.6,223.7,"3,892.3",729.1,"2,788.7",374.5,,,,,,,
"Columbia, MO M.S.A.","150,337", ,,,,, ,,,,,,,,,,
    (Includes Boone and Howard Counties.),,,,,,,,,,,,,,,,,
        City of Columbia,"87,470",422,2,17,84,319,"3,266",459,"2,632",175,,,,,,,
        Total area actually reporting,100.0%,527,3,23,103,398,"4,919",725,"3,930",264,,,,,,,
"        Rate per 100,000 inhabitants",,350.5,2.0,15.3,68.5,264.7,"3,272.0",482.2,"2,614.1",175.6,,,,,,,
"Columbia, SC M.S.A.","670,693", ,,,,, ,,,,,,,,,,
"    (Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties.)",,,,,,,,,,,,,,,,,
        City of Columbia,"118,536","1,342",15,58,461,808,"8,127","1,395","5,907",825,,,,,,,
        Total area actually reporting,100.0%,"5,759",40,293,"1,224","4,202","32,085","6,316","22,697","3,072",,,,,,,
"        Rate per 100,000 inhabitants",,858.7,6.0,43.7,182.5,626.5,"4,783.9",941.7,"3,384.1",458.0,,,,,,,
"Columbus, GA-AL M.S.A.","286,686", ,,,,, ,,,,,,,,,,
"    (Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA.)",,,,,,,,,,,,,,,,,
"        City of Columbus, GA","188,116",837,19,22,331,465,"12,978","2,204","9,555","1,219",,,,,,,
        Total area actually reporting,91.1%,"1,009",22,40,379,568,"14,672","2,626","10,670","1,376",,,,,,,
        Estimated total,100.0%,"1,073",23,46,393,611,"15,294","2,806","11,056","1,432",,,,,,,
"        Rate per 100,000 inhabitants",,374.3,8.0,16.0,137.1,213.1,"5,334.8",978.8,"3,856.5",499.5,,,,,,,
"Columbus, IN M.S.A.","72,061", ,,,,, ,,,,,,,,,,
    (Includes Bartholomew County.),,,,,,,,,,,,,,,,,
        City of Columbus,"39,000",74,2,10,8,54,"1,981",174,"1,733",74,,,,,,,
        Total area actually reporting,99.6%,99,3,11,9,76,"2,295",206,"2,006",83,,,,,,,
        Estimated total,100.0%,100,3,11,9,77,"2,307",208,"2,015",84,,,,,,,
"        Rate per 100,000 inhabitants",,138.8,4.2,15.3,12.5,106.9,"3,201.5",288.6,"2,796.2",116.6,,,,,,,
"Columbus, OH M.S.A.","1,662,005", ,,,,, ,,,,,,,,,,
"    (Includes Delaware, Fairfield, Franklin, Licking, Madison, Morrow, Pickaway, and Union Counties.)",,,,,,,,,,,,,,,,,
        City of Columbus ,"726,151","6,215",109,615,"3,332","2,159","56,338","14,650","33,343","8,345",,,,,,,
        Total area actually reporting,91.9%,"7,526",131,848,"3,904","2,643","83,015","20,747","52,149","10,119",,,,,,,
        Estimated total,100.0%,"7,729",133,881,"3,974","2,741","86,597","21,440","54,802","10,355",,,,,,,
"        Rate per 100,000 inhabitants",,465.0,8.0,53.0,239.1,164.9,"5,210.4","1,290.0","3,297.3",623.0,,,,,,,
"Corpus Christi, TX M.S.A.","411,414", ,,,,, ,,,,,,,,,,
"    (Includes Aransas, Nueces, and San Patricio Counties.)",,,,,,,,,,,,,,,,,
        City of Corpus Christi,"282,850","2,462",21,228,592,"1,621","20,101","3,757","15,064","1,280",,,,,,,
        Total area actually reporting,100.0%,"2,801",25,273,648,"1,855","25,585","5,149","18,932","1,504",,,,,,,
"        Rate per 100,000 inhabitants",,680.8,6.1,66.4,157.5,450.9,"6,218.8","1,251.5","4,601.7",365.6,,,,,,,
"Cumberland, MD-WV M.S.A.","102,107", ,,,,, ,,,,,,,,,,
"    (Includes Allegany County, MD and Mineral County, WV.)",,,,,,,,,,,,,,,,,
"        City of Cumberland, MD","21,278",164,1,15,27,121,"1,205",266,896,43,,,,,,,
        Total area actually reporting,99.3%,320,2,23,43,252,"2,751",700,"1,930",121,,,,,,,
        Estimated total,100.0%,321,2,23,43,253,"2,770",703,"1,945",122,,,,,,,
"        Rate per 100,000 inhabitants",,314.4,2.0,22.5,42.1,247.8,"2,712.8",688.5,"1,904.9",119.5,,,,,,,
"Dallas-Fort Worth-Arlington, TX M.S.A.","5,569,323",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington.),,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Dallas,"1,230,302","16,865",226,601,"7,963","8,075","97,900","21,927","58,554","17,419",,,,,,,
            Fort Worth,"576,339","3,751",57,243,"1,462","1,989","37,529","8,788","25,092","3,649",,,,,,,
            Arlington,"355,385","1,863",9,167,598,"1,089","19,921","3,606","14,656","1,659",,,,,,,
            Plano,"241,793",709,5,48,134,522,"9,453","1,527","7,254",672,,,,,,,
            Irving,"199,168",873,7,75,258,533,"10,007","1,515","7,254","1,238",,,,,,,
            Carrollton,"116,897",238,2,15,77,144,"4,039",808,"2,742",489,,,,,,,
            Richardson,"98,463",241,1,16,101,123,"3,619",698,"2,593",328,,,,,,,
            Denton,"91,754",367,3,67,63,234,"3,501",673,"2,598",230,,,,,,,
            McKinney,"74,217",161,0,42,36,83,"2,017",477,"1,408",132,,,,,,,
        Total area actually reporting,99.9%,"32,406",384,"1,931","12,401","17,690","283,191","60,557","187,930","34,704",,,,,,,
        Estimated total,100.0%,"32,413",384,"1,932","12,403","17,694","283,281","60,575","187,994","34,712",,,,,,,
"        Rate per 100,000 inhabitants",,582.0,6.9,34.7,222.7,317.7,"5,086.5","1,087.7","3,375.5",623.3,,,,,,,
"      Dallas-Plano-Irving, TX M.D.","3,729,921",,,,,,,,,,,,,,,,
"          (Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties.)",,,,,, ,,,,,,,,,,,
              Total area actually reporting,99.9%,"24,364",296,"1,253","9,894","12,921","194,170","41,624","125,632","26,914",,,,,,,
              Estimated total,100.0%,"24,371",296,"1,254","9,896","12,925","194,260","41,642","125,696","26,922",,,,,,,
"              Rate per 100,000 inhabitants",,653.4,7.9,33.6,265.3,346.5,"5,208.2","1,116.4","3,369.9",721.8,,,,,,,
"      Fort Worth-Arlington, TX M.D.","1,839,402",,,,,,,,,,,,,,,,
"          (Includes Johnson, Parker, Tarrant, and Wise Counties.)",,,,,,,,,,,,,,,,,
              Total area actually reporting,100.0%,"8,042",88,678,"2,507","4,769","89,021","18,933","62,298","7,790",,,,,,,
"              Rate per 100,000 inhabitants",,437.2,4.8,36.9,136.3,259.3,"4,839.7","1,029.3","3,386.9",423.5,,,,,,,
"Dalton, GA M.S.A.","127,406", ,,,,, ,,,,,,,,,,
    (Includes Murray and Whitfield Counties.),,,,,,,,,,,,,,,,,
        City of Dalton,"30,329",195,0,4,42,149,"1,840",285,"1,426",129,,,,,,,
        Total area actually reporting,98.3%,442,4,16,62,360,"5,174","1,130","3,577",467,,,,,,,
        Estimated total,100.0%,454,4,17,66,367,"5,296","1,150","3,667",479,,,,,,,
"        Rate per 100,000 inhabitants",,356.3,3.1,13.3,51.8,288.1,"4,156.8",902.6,"2,878.2",376.0,,,,,,,
"Danville, VA M.S.A.","110,733", ,,,,, ,,,,,,,,,,
    (Includes Pittsylvania County and Danville City.),,,,,,,,,,,,,,,,,
        City of Danville,"48,202",296,5,20,77,194,"2,214",313,"1,763",138,,,,,,,
        Total area actually reporting,100.0%,394,10,36,88,260,"2,747",524,"2,003",220,,,,,,,
"        Rate per 100,000 inhabitants",,355.8,9.0,32.5,79.5,234.8,"2,480.7",473.2,"1,808.9",198.7,,,,,,,
"Dayton, OH M.S.A.","847,787", ,,,,, ,,,,,,,,,,
"    (Includes Greene, Miami, Montgomery, and Preble Counties.)",,,,,,,,,,,,,,,,,
        City of Dayton,"162,876","1,654",28,173,951,502,"13,230","3,814","6,874","2,542",,,,,,,
        Total area actually reporting,92.5%,"2,621",40,421,"1,347",813,"33,802","7,594","21,973","4,235",,,,,,,
        Estimated total,100.0%,"2,736",41,437,"1,387",871,"35,705","7,923","23,431","4,351",,,,,,,
"        Rate per 100,000 inhabitants",,322.7,4.8,51.5,163.6,102.7,"4,211.6",934.6,"2,763.8",513.2,,,,,,,
"Decatur, AL M.S.A.","146,845", ,,,,, ,,,,,,,,,,
    (Includes Lawrence and Morgan Counties.),,,,,,,,,,,,,,,,,
        City of Decatur,"54,112",221,4,11,117,89,"3,957",780,"3,001",176,,,,,,,
        Total area actually reporting,98.5%,286,5,15,133,133,"5,470","1,232","3,983",255,,,,,,,
        Estimated total,100.0%,295,5,16,136,138,"5,569","1,251","4,056",262,,,,,,,
"        Rate per 100,000 inhabitants",,200.9,3.4,10.9,92.6,94.0,"3,792.4",851.9,"2,762.1",178.4,,,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.","467,845",,,,,,,,,,,,,,,,
    (Includes Volusia County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Daytona Beach,"65,788","1,214",5,81,420,708,"6,141","1,567","3,651",923,,,,,,,
            Ormond Beach,"37,883",110,1,6,33,70,"1,217",428,714,75,,,,,,,
        Total area actually reporting,100.0%,"3,103",18,223,725,"2,137","19,336","5,149","12,089","2,098",,,,,,,
"        Rate per 100,000 inhabitants",,663.3,3.8,47.7,155.0,456.8,"4,133.0","1,100.6","2,584.0",448.4,,,,,,,
"Denver-Aurora, CO M.S.A.","2,302,921",,,,,,,,,,,,,,,,
"    (Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties.) ",,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Denver,"565,905","3,531",63,304,"1,421","1,743","29,064","7,097","14,839","7,128",,,,,,,
            Aurora,"288,830","1,691",18,213,571,889,"15,253","2,329","10,272","2,652",,,,,,,
        Total area actually reporting,93.3%,"8,561",119,961,"2,676","4,805","94,136","17,535","60,331","16,270",,,,,,,
        Estimated total,100.0%,"8,993",123,"1,013","2,766","5,091","100,575","18,542","64,986","17,047",,,,,,,
"        Rate per 100,000 inhabitants",,390.5,5.3,44.0,120.1,221.1,"4,367.3",805.2,"2,821.9",740.2,,,,,,,
"Des Moines, IA M.S.A.","498,493", ,,,,, ,,,,,,,,,,
"    (Includes Dallas, Guthrie, Madison, Polk, and Warren Counties.)",,,,,,,,,,,,,,,,,
        City of Des Moines,"198,568",699,8,92,284,315,"12,115","1,527","9,692",896,,,,,,,
        Total area actually reporting,98.0%,"1,242",12,143,339,748,"19,465","3,002","15,144","1,319",,,,,,,
        Estimated total,100.0%,"1,261",12,145,341,763,"19,752","3,051","15,371","1,330",,,,,,,
"        Rate per 100,000 inhabitants",,253.0,2.4,29.1,68.4,153.1,"3,962.3",612.0,"3,083.5",266.8,,,,,,,
"Detroit-Warren-Livonia, MI M.S.A.1","4,497,319",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Detroit-Livonia-Dearborn and Warren-Farmington Hills-Troy.),,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Detroit,"927,766","18,724",366,814,"5,817","11,727","64,809","14,100","25,353","25,356",,,,,,,
            Warren1,"138,077",790,3,80,188,519,,763,"2,301",,,,,,,,
            Livonia,"100,636",185,0,13,56,116,"2,506",389,"1,846",271,,,,,,,
            Dearborn,"98,121","1,099",0,13,144,942,"5,098",525,"3,257","1,316",,,,,,,
            Farmington Hills,"81,666",146,0,18,26,102,"1,751",355,"1,236",160,,,,,,,
            Troy,"81,150",100,1,11,28,60,"2,024",292,"1,573",159,,,,,,,
            Southfield,"78,088","1,072",2,34,139,897,"4,379",754,"2,499","1,126",,,,,,,
            Pontiac,"66,331",912,8,73,156,675,"2,356",796,"1,151",409,,,,,,,
            Taylor,"66,087",267,2,40,58,167,"3,115",466,"2,095",554,,,,,,,
        Total area actually reporting,99.4%,"30,165",449,"1,973","8,114","19,629",,"30,685","89,611",,,,,,,,
        Estimated total,100.0%,"30,229",449,"1,980","8,130","19,670",,"30,803","90,089",,,,,,,,
"        Rate per 100,000 inhabitants",,672.2,10.0,44.0,180.8,437.4,,684.9,"2,003.2",,,, ,,,,
"    Detroit-Livonia-Dearborn, MI M.D.1","2,051,552",,,,,,,,,,,,,,,,
        (Includes Wayne County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,99.0%,"23,027",400,"1,133","6,805","14,689","102,070","20,346","48,938","32,786",,,,,,,
            Estimated total,100.0%,"23,079",400,"1,139","6,818","14,722","102,647","20,442","49,329","32,876",,,,,,,
"            Rate per 100,000 inhabitants",,"1,125.0",19.5,55.5,332.3,717.6,"5,003.4",996.4,"2,404.5","1,602.5",,,,,,,
"    Warren-Farmington Hills-Troy, MI M.D.1","2,445,767",,,,,,,,,,,,,,,,
"        (Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties.)",,,,,,, ,,,,,,,,,,
            Total area actually reporting,99.8%,"7,138",49,840,"1,309","4,940",,"10,339","40,673",,,,,,,,
            Estimated total,100.0%,"7,149",49,841,"1,312","4,947",,"10,361","40,760",,,,,,,,
"            Rate per 100,000 inhabitants",,292.3,2.0,34.4,53.6,202.3,,423.6,"1,666.6",,,,,,,,
"Dothan, AL M.S.A.","132,022", ,,,,, ,,,,,,,,,,
"    (Includes Geneva, Henry, and Houston Counties.)",,,,,,,,,,,,,,,,,
        City of Dothan,"58,433",251,4,38,109,100,"2,970",680,"2,139",151,,,,,,,
        Total area actually reporting,95.9%,377,10,50,116,201,"4,074","1,007","2,825",242,,,,,,,
        Estimated total,100.0%,399,10,52,123,214,"4,316","1,054","3,003",259,,,,,,,
"        Rate per 100,000 inhabitants",,302.2,7.6,39.4,93.2,162.1,"3,269.2",798.4,"2,274.6",196.2,,,,,,,
"Dover, DE M.S.A.","132,710", ,,,,, ,,,,,,,,,,
    (Includes Kent County.),,,,,,,,,,,,,,,,,
        City of Dover,"32,989",239,1,24,47,167,"1,917",166,"1,647",104,,,,,,,
        Total area actually reporting,100.0%,983,5,82,111,785,"4,563",864,"3,435",264,,,,,,,
"        Rate per 100,000 inhabitants",,740.7,3.8,61.8,83.6,591.5,"3,438.3",651.0,"2,588.4",198.9,,,,,,,
"Dubuque, IA M.S.A.","89,609", ,,,,, ,,,,,,,,,,
    (Includes Dubuque County.),,,,,,,,,,,,,,,,,
        City of Dubuque,"57,173",235,2,17,15,201,"1,814",398,"1,319",97,,,,,,,
        Total area actually reporting,100.0%,272,2,23,15,232,"2,089",473,"1,485",131,,,,,,,
"        Rate per 100,000 inhabitants",,303.5,2.2,25.7,16.7,258.9,"2,331.2",527.8,"1,657.2",146.2,,,,,,,
"Duluth, MN-WI M.S.A.","278,385", ,,,,, ,,,,,,,,,,
"    (Includes Carlton and St. Louis Counties, MN and Douglas County, WI.)",,,,,,,,,,,,,,,,,
"        City of Duluth, MN","87,102",290,4,53,83,150,"4,794",773,"3,640",381,,,,,,,
        Total area actually reporting,100.0%,604,9,134,107,354,"10,066","2,157","7,193",716,,,,,,,
"        Rate per 100,000 inhabitants",,217.0,3.2,48.1,38.4,127.2,"3,615.9",774.8,"2,583.8",257.2,,,,,,,
"Durham, NC M.S.A.","449,820", ,,,,, ,,,,,,,,,,
"    (Includes Chatham, Durham, Orange, and Person Counties.)",,,,,,,,,,,,,,,,,
        City of Durham,"197,965","1,663",22,76,883,682,"13,621","3,528","9,027","1,066",,,,,,,
        Total area actually reporting,100.0%,"2,462",25,116,"1,129","1,192","23,752","6,092","16,121","1,539",,,,,,,
"        Rate per 100,000 inhabitants",,547.3,5.6,25.8,251.0,265.0,"5,280.3","1,354.3","3,583.9",342.1,,,,,,,
"El Centro, CA M.S.A.","147,782", ,,,,, ,,,,,,,,,,
    (Includes Imperial County.),,,,,,,,,,,,,,,,,
        City of El Centro,"38,079",325,0,7,52,266,"1,675",584,893,198,,,,,,,
        Total area actually reporting,100.0%,773,12,21,136,604,"5,269","1,839","2,587",843,,,,,,,
"        Rate per 100,000 inhabitants",,523.1,8.1,14.2,92.0,408.7,"3,565.4","1,244.4","1,750.6",570.4,,,,,,,
"Elkhart-Goshen, IN M.S.A.","187,572",,,,,,,,,,,,,,,,
    (Includes Elkhart County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Elkhart,"52,090",187,6,25,136,20,"4,203",872,"3,022",309,,,,,,,
            Goshen,"29,859",124,0,1,9,114,"1,336",154,"1,131",51,,,,,,,
        Total area actually reporting,100.0%,387,8,40,166,173,"7,783","1,519","5,634",630,,,,,,,
"        Rate per 100,000 inhabitants",,206.3,4.3,21.3,88.5,92.2,"4,149.3",809.8,"3,003.6",335.9,,,,,,,
"El Paso, TX M.S.A.","708,407", ,,,,, ,,,,,,,,,,
    (Includes El Paso County.),,,,,,,,,,,,,,,,,
        City of El Paso,"586,392","3,502",21,219,581,"2,681","21,780","2,185","17,735","1,860",,,,,,,
        Total area actually reporting,100.0%,"3,920",21,263,638,"2,998","24,786","2,689","19,983","2,114",,,,,,,
"        Rate per 100,000 inhabitants",,553.4,3.0,37.1,90.1,423.2,"3,498.8",379.6,"2,820.8",298.4,,,,,,,
"Erie, PA M.S.A.","281,060", ,,,,, ,,,,,,,,,,
    (Includes Erie County.),,,,,,,,,,,,,,,,,
        City of Erie,"102,373",447,3,70,191,183,"3,134",725,"2,284",125,,,,,,,
        Total area actually reporting,98.2%,682,6,116,226,334,"6,240","1,456","4,499",285,,,,,,,
        Estimated total,100.0%,694,6,117,229,342,"6,350","1,472","4,585",293,,,,,,,
"        Rate per 100,000 inhabitants",,246.9,2.1,41.6,81.5,121.7,"2,259.3",523.7,"1,631.3",104.2,,,,,,,
"Eugene-Springfield, OR M.S.A.","330,199",,,,,,,,,,,,,,,,
    (Includes Lane County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Eugene,"141,913",478,2,53,176,247,"8,904","1,424","6,591",889,,,,,,,
            Springfield,"54,619",158,0,16,41,101,"4,274",639,"3,038",597,,,,,,,
        Total area actually reporting,100.0%,867,5,111,252,499,"16,581","3,064","11,657","1,860",,,,,,,
"        Rate per 100,000 inhabitants",,262.6,1.5,33.6,76.3,151.1,"5,021.5",927.9,"3,530.3",563.3,,,,,,,
"Fairbanks, AK M.S.A.","32,652", ,,,,, ,,,,,,,,,,
    (Includes Fairbanks North Star Borough.),,,,,,,,,,,,,,,,,
        City of Fairbanks,"31,021",289,4,42,42,201,"1,561",271,"1,158",132,,,,,,,
        Total area actually reporting,100.0%,301,4,42,42,213,"1,838",290,"1,402",146,,,,,,,
"        Rate per 100,000 inhabitants",,921.8,12.3,128.6,128.6,652.3,"5,629.1",888.2,"4,293.8",447.1,,,,,,,
"Fargo, ND-MN M.S.A.","177,421", ,,,,, ,,,,,,,,,,
"    (Includes Clay County, MN and Cass County, ND.)",,,,,,,,,,,,,,,,,
"        City of Fargo, ND","91,165",77,0,41,11,25,"2,283",335,"1,759",189,,,,,,,
        Total area actually reporting,100.0%,177,2,62,24,89,"4,402",703,"3,387",312,,,,,,,
"        Rate per 100,000 inhabitants",,99.8,1.1,34.9,13.5,50.2,"2,481.1",396.2,"1,909.0",175.9,,,,,,,
"Farmington, NM M.S.A.","121,636", ,,,,, ,,,,,,,,,,
    (Includes San Juan County.),,,,,,,,,,,,,,,,,
        City of Farmington,"40,991",434,3,53,24,354,"1,493",389,974,130,,,,,,,
        Total area actually reporting,100.0%,688,4,85,39,560,"3,130",746,"2,161",223,,,,,,,
"        Rate per 100,000 inhabitants",,565.6,3.3,69.9,32.1,460.4,"2,573.3",613.3,"1,776.6",183.3,,,,,,,
"Fayetteville, NC M.S.A.","342,912", ,,,,, ,,,,,,,,,,
    (Includes Cumberland and Hoke Counties.),,,,,,,,,,,,,,,,,
        City of Fayetteville,"125,587","1,230",13,33,492,692,"9,652","2,035","6,939",678,,,,,,,
