Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
        Total area actually reporting,100.0%,270,1,9,13,247,"2,250",533,"1,577",140,,,,,,,
"        Rate per 100,000 inhabitants",,298.8,1.1,10.0,14.4,273.3,"2,489.8",589.8,"1,745.1",154.9,,,,,,,
"Durham, NC M.S.A.","454,189", ,,,,, ,,,,,,,,,,
"    (Includes Chatham, Durham, Orange, and Person Counties.)",,,,,,,,,,,,,,,,,
        City of Durham,"201,537","1,561",30,91,814,626,"12,235","3,249","8,040",946,,,,,,,
        Total area actually reporting,100.0%,"2,356",43,139,"1,032","1,142","21,744","5,716","14,663","1,365",,,,,,,
"        Rate per 100,000 inhabitants",,518.7,9.5,30.6,227.2,251.4,"4,787.4","1,258.5","3,228.4",300.5,,,,,,,
"Eau Claire, WI M.S.A.","151,972", ,,,,, ,,,,,,,,,,
    (Includes Chippewa and Eau Claire Counties.),,,,,,,,,,,,,,,,,
        City of Eau Claire,"62,915",182,1,17,22,142,"2,290",314,"1,901",75,,,,,,,
        Total area actually reporting,100.0%,226,1,27,25,173,"3,976",587,"3,238",151,,,,,,,
"        Rate per 100,000 inhabitants",,148.7,0.7,17.8,16.5,113.8,"2,616.3",386.3,"2,130.7",99.4,,,,,,,
"El Centro, CA M.S.A.","150,954", ,,,,, ,,,,,,,,,,
    (Includes Imperial County.),,,,,,,,,,,,,,,,,
        City of El Centro,"38,423",328,0,17,61,250,"1,738",642,878,218,,,,,,,
        Total area actually reporting,100.0%,687,4,34,123,526,"5,619","1,913","2,714",992,,,,,,,
"        Rate per 100,000 inhabitants",,455.1,2.6,22.5,81.5,348.5,"3,722.3","1,267.3","1,797.9",657.2,,,,,,,
"Elizabethtown, KY M.S.A.","110,236", ,,,,, ,,,,,,,,,,
    (Includes Hardin and Larue Counties.),,,,,,,,,,,,,,,,,
        City of Elizabethtown,"23,398",61,2,6,19,34,"1,300",192,"1,061",47,,,,,,,
        Total area actually reporting,100.0%,175,2,27,46,100,"2,274",477,"1,704",93,,,,,,,
"        Rate per 100,000 inhabitants",,158.8,1.8,24.5,41.7,90.7,"2,062.8",432.7,"1,545.8",84.4,,,,,,,
"Elkhart-Goshen, IN M.S.A.","190,056",,,,,,,,,,,,,,,,
    (Includes Elkhart County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Elkhart,"52,032",205,1,34,161,9,"4,240",934,"3,036",270,,,,,,,
            Goshen,"29,989",73,0,0,2,71,"1,397",148,"1,204",45,,,,,,,
        Total area actually reporting,100.0%,350,2,62,183,103,"7,579","1,552","5,477",550,,,,,,,
"        Rate per 100,000 inhabitants",,184.2,1.1,32.6,96.3,54.2,"3,987.8",816.6,"2,881.8",289.4,,,,,,,
"El Paso, TX M.S.A.","717,285", ,,,,, ,,,,,,,,,,
    (Includes El Paso County.),,,,,,,,,,,,,,,,,
        City of El Paso,"593,924","3,242",11,201,570,"2,460","20,846","2,304","16,702","1,840",,,,,,,
        Total area actually reporting,100.0%,"3,632",17,229,606,"2,780","23,624","2,720","18,833","2,071",,,,,,,
"        Rate per 100,000 inhabitants",,506.4,2.4,31.9,84.5,387.6,"3,293.5",379.2,"2,625.6",288.7,,,,,,,
"Erie, PA M.S.A.","280,891", ,,,,, ,,,,,,,,,,
    (Includes Erie County.),,,,,,,,,,,,,,,,,
        City of Erie,"101,708",460,1,65,206,188,"3,336",747,"2,470",119,,,,,,,
        Total area actually reporting,98.2%,712,1,106,260,345,"6,408","1,449","4,678",281,,,,,,,
        Estimated total,100.0%,724,1,107,263,353,"6,518","1,465","4,765",288,,,,,,,
"        Rate per 100,000 inhabitants",,257.8,0.4,38.1,93.6,125.7,"2,320.5",521.6,"1,696.4",102.5,,,,,,,
"Eugene-Springfield, OR M.S.A.","333,776",,,,,,,,,,,,,,,,
    (Includes Lane County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Eugene,"143,583",402,1,61,166,174,"8,744","1,734","5,916","1,094",,,,,,,
            Springfield,"55,311",184,2,22,45,115,"3,908",671,"2,734",503,,,,,,,
        Total area actually reporting,100.0%,860,5,129,243,483,"16,374","3,655","10,691","2,028",,,,,,,
"        Rate per 100,000 inhabitants",,257.7,1.5,38.6,72.8,144.7,"4,905.7","1,095.0","3,203.0",607.6,,,,,,,
"Evansville, IN-KY M.S.A.1","348,022", ,,,,, ,,,,,,,,,,
"    (Includes Gibson, Posey, Vanderburgh, and Warrick Counties, IN and Henderson and Webster Counties, KY.)",,,,,,,,,,,,,,,,,
"        City of Evansville, IN1","118,679",460,0,34,172,254,"5,868","1,159","4,438",271,,,,,,,
        Total area actually reporting,77.3%,634,1,51,190,392,"8,057","1,471","6,194",392,,,,,,,
        Estimated total,100.0%,781,1,65,229,486,"9,904","1,823","7,541",540,,,,,,,
"        Rate per 100,000 inhabitants",,224.4,0.3,18.7,65.8,139.6,"2,845.8",523.8,"2,166.8",155.2,,,,,,,
"Fairbanks, AK M.S.A.","32,948", ,,,,, ,,,,,,,,,,
    (Includes Fairbanks North Star Borough.),, ,,,,,,,,,,,,,,,
        City of Fairbanks,"31,286",231,2,54,46,129,"1,503",224,"1,134",145,,,,,,,
        Total area actually reporting,100.0%,247,2,55,47,143,"1,735",238,"1,349",148,,,,,,,
"        Rate per 100,000 inhabitants",,749.7,6.1,166.9,142.6,434.0,"5,265.9",722.4,"4,094.3",449.2,,,,,,,
"Fargo, ND-MN M.S.A.","179,651", ,,,,, ,,,,,,,,,,
"    (Includes Clay County, MN and Cass County, ND.)",,,,,,,,,,,,,,,,,
"        City of Fargo, ND","91,560",45,1,22,3,19,"2,096",344,"1,589",163,,,,,,,
        Total area actually reporting,100.0%,155,2,55,19,79,"3,874",637,"2,947",290,,,,,,,
"        Rate per 100,000 inhabitants",,86.3,1.1,30.6,10.6,44.0,"2,156.4",354.6,"1,640.4",161.4,,,,,,,
"Farmington, NM M.S.A.","124,142", ,,,,, ,,,,,,,,,,
    (Includes San Juan County.),,,,,,,,,,,,,,,,,
        City of Farmington,"42,054",532,1,62,56,413,"1,613",385,"1,040",188,,,,,,,
        Total area actually reporting,100.0%,847,2,137,65,643,"3,273",693,"2,282",298,,,,,,,
"        Rate per 100,000 inhabitants",,682.3,1.6,110.4,52.4,518.0,"2,636.5",558.2,"1,838.2",240.0,,,,,,,
"Fayetteville, NC M.S.A.","347,040", ,,,,, ,,,,,,,,,,
    (Includes Cumberland and Hoke Counties.),,,,,,,,,,,,,,,,,
        City of Fayetteville,"126,354","1,042",14,42,362,624,"9,862","2,040","7,144",678,,,,,,,
        Total area actually reporting,100.0%,"2,115",39,94,594,"1,388","19,181","5,537","12,506","1,138",,,,,,,
"        Rate per 100,000 inhabitants",,609.4,11.2,27.1,171.2,400.0,"5,527.0","1,595.5","3,603.6",327.9,,,,,,,
"Flagstaff, AZ M.S.A.","124,844", , ,,,, ,,,,,,,,,,
    (Includes Coconino County.),,,, ,,,,,,,,,,,,,
        City of Flagstaff,"57,526",427,3,42,63,319,"4,365",555,"3,599",211,,,,,,,
        Total area actually reporting,97.6%,630,7,65,70,488,"5,918",883,"4,709",326,,,,,,,
        Estimated total,100.0%,642,7,66,73,496,"6,072",917,"4,804",351,,,,,,,
"        Rate per 100,000 inhabitants",,514.2,5.6,52.9,58.5,397.3,"4,863.7",734.5,"3,848.0",281.2,,,,,,,
"Flint, MI M.S.A.1","443,682", ,,,,, ,,,,,,,,,,
    (Includes Genesee County.),,,,,,,,,,,,,,,,,
        City of Flint1,"120,681","2,324",39,140,473,"1,672","7,254","2,477","3,214","1,563",,,,,,,
        Total area actually reporting,99.9%,"3,407",51,278,723,"2,355","17,904","4,880","10,345","2,679",,,,,,,
        Estimated total,100.0%,"3,408",51,278,723,"2,356","17,915","4,882","10,353","2,680",,,,,,,
"        Rate per 100,000 inhabitants",,768.1,11.5,62.7,163.0,531.0,"4,037.8","1,100.3","2,333.4",604.0,,,,,,,
"Florence, SC M.S.A.","198,701", ,,,,, ,,,,,,,,,,
    (Includes Darlington and Florence Counties.),,,,,,,,,,,,,,,,,
        City of Florence,"30,639",526,7,15,162,342,"3,664",667,"2,776",221,,,,,,,
        Total area actually reporting,100.0%,"2,249",17,84,407,"1,741","12,181","3,227","8,151",803,,,,,,,
"        Rate per 100,000 inhabitants",,"1,131.9",8.6,42.3,204.8,876.2,"6,130.3","1,624.0","4,102.1",404.1,,,,,,,
"Florence-Muscle Shoals, AL M.S.A.","142,425", ,,,,, ,,,,,,,,,,
    (Includes Colbert and Lauderdale Counties.),,, ,,,,,,,,,,,,,,
        City of:  ,,,,,,,,,,,,,,,,,
            Florence,"36,086",168,1,7,39,121,"1,927",478,"1,401",48,,,,,,,
            Muscle Shoals,"12,329",74,0,5,9,60,761,167,559,35,,,,,,,
        Total area actually reporting,100.0%,407,3,26,73,305,"4,691","1,095","3,445",151,,,,,,,
"        Rate per 100,000 inhabitants",,285.8,2.1,18.3,51.3,214.1,"3,293.7",768.8,"2,418.8",106.0,,,,,,,
"Fond du Lac, WI M.S.A.","98,490", ,,,,, ,,,,,,,,,,
    (Includes Fond du Lac County.),,,,,,,,,,,,,,,,,
        City of Fond du Lac,"42,378",60,0,14,9,37,"1,307",138,"1,115",54,,,,,,,
        Total area actually reporting,100.0%,98,1,20,10,67,"1,947",223,"1,633",91,,,,,,,
"        Rate per 100,000 inhabitants",,99.5,1.0,20.3,10.2,68.0,"1,976.9",226.4,"1,658.0",92.4,,,,,,,
"Fort Collins-Loveland, CO M.S.A.","269,581",,,,,,,,,,,,,,,,
    (Includes Larimer County.),, , ,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Fort Collins,"127,141",358,0,129,28,201,"4,684",714,"3,712",258,,,,,,,
            Loveland,"57,065",90,0,15,11,64,"1,961",245,"1,571",145,,,,,,,
        Total area actually reporting,100.0%,577,2,176,44,355,"8,796","1,328","6,948",520,,,,,,,
"        Rate per 100,000 inhabitants",,214.0,0.7,65.3,16.3,131.7,"3,262.8",492.6,"2,577.3",192.9,,,,,,,
"Fort Smith, AR-OK M.S.A.1","281,966", ,,,,, ,,,,,,,,,,
"    (Includes Crawford, Franklin, and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK.)",,,,,,,,,,,,,,,,,
"        City of Fort Smith, AR","82,367",711,3,78,90,540,"6,048","1,068","4,693",287,,,,,,,
        Total area actually reporting,85.3%,"1,325",3,125,119,"1,078","9,212","1,991","6,733",488,,,,,,,
        Estimated total,100.0%,"1,446",5,138,127,"1,176","10,159","2,341","7,249",569,,,,,,,
"        Rate per 100,000 inhabitants",,512.8,1.8,48.9,45.0,417.1,"3,602.9",830.2,"2,570.9",201.8,,,,,,,
"Fort Walton Beach-Crestview-Destin, FL M.S.A.","182,061",,,,,,,,,,,,,,,,
    (Includes Okaloosa County.),,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Fort Walton Beach,"20,379",90,0,6,20,64,743,123,574,46,,,,,,,
            Crestview,"16,178",85,1,1,16,67,820,231,552,37,,,,,,,
        Total area actually reporting,100.0%,587,3,39,102,443,"5,230","1,197","3,712",321,,,,,,,
"        Rate per 100,000 inhabitants",,322.4,1.6,21.4,56.0,243.3,"2,872.7",657.5,"2,038.9",176.3,,,,,,,
"Fort Wayne, IN M.S.A.","402,421", ,,,,, ,,,,,,,,,,
"    (Includes Allen, Wells, and Whitley Counties.)",,,,,,,,,,,,,,,,,
        City of Fort Wayne,"220,980",657,22,96,305,234,"10,863","2,073","7,989",801,,,,,,,
        Total area actually reporting,94.4%,827,23,113,348,343,"13,351","2,593","9,750","1,008",,,,,,,
        Estimated total,100.0%,856,23,116,352,365,"13,677","2,669","9,963","1,045",,,,,,,
"        Rate per 100,000 inhabitants",,212.7,5.7,28.8,87.5,90.7,"3,398.7",663.2,"2,475.8",259.7,,,,,,,
"Fresno, CA M.S.A.","860,134", ,,,,, ,,,,,,,,,,
    (Includes Fresno County.),,, ,,,,,,,,,,,,,,
        City of Fresno,"456,663","3,496",53,181,"1,232","2,030","26,360","3,994","17,119","5,247",,,,,,,
        Total area actually reporting,100.0%,"5,169",69,272,"1,541","3,287","42,199","7,418","27,150","7,631",,,,,,,
"        Rate per 100,000 inhabitants",,601.0,8.0,31.6,179.2,382.1,"4,906.1",862.4,"3,156.5",887.2,,,,,,,
"Gadsden, AL M.S.A.","103,709", ,,,,, ,,,,,,,,,,
    (Includes Etowah County.),,,,,,,,,,,,,,,,,
        City of Gadsden,"37,865",359,1,43,112,203,"3,548",810,"2,416",322,,,,,,,
        Total area actually reporting,95.0%,446,4,55,121,266,"4,716","1,073","3,265",378,,,,,,,
        Estimated total,100.0%,469,4,57,129,279,"4,955","1,123","3,437",395,,,,,,,
"        Rate per 100,000 inhabitants",,452.2,3.9,55.0,124.4,269.0,"4,777.8","1,082.8","3,314.1",380.9,,,,,,,
"Gainesville, FL M.S.A.","244,525", ,,,,, ,,,,,,,,,,
    (Includes Alachua and Gilchrist Counties.),,,,,,,,,,,,,,,,,
        City of Gainesville,"111,571",896,5,98,191,602,"4,465","1,212","2,818",435,,,,,,,
        Total area actually reporting,100.0%,"1,926",8,159,312,"1,447","9,668","2,647","6,249",772,,,,,,,
"        Rate per 100,000 inhabitants",,787.6,3.3,65.0,127.6,591.8,"3,953.8","1,082.5","2,555.6",315.7,,,,,,,
"Gainesville, GA M.S.A.","158,701", ,,,,, ,,,,,,,,,,
    (Includes Hall County.),,,,,,,,,,,,,,,,,
        City of Gainesville,"30,303",163,4,12,45,102,"2,336",285,"1,861",190,,,,,,,
        Total area actually reporting,99.9%,415,9,35,84,287,"6,255","1,205","4,383",667,,,,,,,
        Estimated total,100.0%,416,9,35,84,288,"6,263","1,206","4,389",668,,,,,,,
"        Rate per 100,000 inhabitants",,262.1,5.7,22.1,52.9,181.5,"3,946.4",759.9,"2,765.6",420.9,,,,,,,
"Glens Falls, NY M.S.A.","126,831", ,,,,, ,,,,,,,,,,
    (Includes Warren and Washington Counties.),,,,,,,,,,,,,,,,,
        City of Glens Falls,"14,239",13,0,1,3,9,261,38,217,6,,,,,,,
        Total area actually reporting,100.0%,203,0,31,10,162,"2,065",316,"1,700",49,,,,,,,
"        Rate per 100,000 inhabitants",,160.1,0.0,24.4,7.9,127.7,"1,628.2",249.2,"1,340.4",38.6,,,,,,,
"Goldsboro, NC M.S.A.","114,906", ,,,,, ,,,,,,,,,,
    (Includes Wayne County.),,,,,,,,,,,,,,,,,
        City of Goldsboro,"39,097",341,5,6,89,241,"2,544",658,"1,747",139,,,,,,,
        Total area actually reporting,99.4%,564,12,11,126,415,"5,002","1,584","3,111",307,,,,,,,
        Estimated total,100.0%,567,12,11,127,417,"5,040","1,592","3,139",309,,,,,,,
"        Rate per 100,000 inhabitants",,493.4,10.4,9.6,110.5,362.9,"4,386.2","1,385.5","2,731.8",268.9,,,,,,,
"Grand Forks, ND-MN M.S.A.","95,949", ,,,,, ,,,,,,,,,,
"    (Includes Polk County, MN and Grand Forks County, ND.)",,,,,,,,,,,,,,,,,
"        City of Grand Forks, ND","48,659",61,0,18,3,40,"1,905",250,"1,531",124,,,,,,,
        Total area actually reporting,97.6%,134,0,38,6,90,"2,928",507,"2,246",175,,,,,,,
        Estimated total,100.0%,136,0,39,6,91,"2,994",516,"2,299",179,,,,,,,
"        Rate per 100,000 inhabitants",,141.7,0.0,40.6,6.3,94.8,"3,120.4",537.8,"2,396.1",186.6,,,,,,,
"Grand Junction, CO M.S.A.","126,065", ,,,,, ,,,,,,,,,,
    (Includes Mesa County.),,,,,,,,,,,,,,,,,
        City of Grand Junction,"44,877",273,2,41,17,213,"3,155",556,"2,410",189,,,,,,,
        Total area actually reporting,99.3%,361,3,53,29,276,"4,907",947,"3,610",350,,,,,,,
        Estimated total,100.0%,364,3,53,30,278,"4,945",953,"3,637",355,,,,,,,
"        Rate per 100,000 inhabitants",,288.7,2.4,42.0,23.8,220.5,"3,922.6",756.0,"2,885.0",281.6,,,,,,,
"Grand Rapids-Wyoming, MI M.S.A.","764,503",,,,,,,,,,,,,,,,
"    (Includes Barry, Ionia, Kent, and Newaygo Counties.)",, ,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Grand Rapids,"196,234","2,034",12,83,562,"1,377","9,425","2,155","6,531",739,,,,,,,
            Wyoming,"70,432",327,1,59,62,205,"2,100",624,"1,286",190,,,,,,,
        Total area actually reporting,99.2%,"3,473",26,398,724,"2,325","23,842","5,794","16,550","1,498",,,,,,,
        Estimated total,100.0%,"3,490",26,400,728,"2,336","24,022","5,824","16,679","1,519",,,,,,,
"        Rate per 100,000 inhabitants",,456.5,3.4,52.3,95.2,305.6,"3,142.2",761.8,"2,181.7",198.7,,,,,,,
"Great Falls, MT M.S.A.1","80,362", ,,,,, ,,,,,,,,,,
    (Includes Cascade County.),,,,,,,,,,,,,,,,,
        City of Great Falls,"56,721",237,3,15,19,200,"3,828",313,"3,381",134,,,,,,,
        Total area actually reporting,100.0%,262,3,19,19,221,,,"3,743",160,,,,,,,
"        Rate per 100,000 inhabitants",,326.0,3.7,23.6,23.6,275.0,,,"4,657.7",199.1,,,,,,,
"Greeley, CO M.S.A.","213,627", ,,,,, ,,,,,,,,,,
    (Includes Weld County.),,, ,,,,,,,,,,,,,,
        City of Greeley,"84,344",438,6,58,58,316,"5,175",854,"3,891",430,,,,,,,
        Total area actually reporting,94.4%,780,9,109,84,578,"8,394","1,578","6,020",796,,,,,,,
        Estimated total,100.0%,814,9,114,92,599,"8,907","1,653","6,388",866,,,,,,,
"        Rate per 100,000 inhabitants",,381.0,4.2,53.4,43.1,280.4,"4,169.4",773.8,"2,990.3",405.4,,,,,,,
"Green Bay, WI M.S.A.","293,202", ,,,,, ,,,,,,,,,,
"    (Includes Brown, Kewaunee, and Oconto Counties.)",,,,,,,,,,,,,,,,,
        City of Green Bay,"102,148",519,6,57,67,389,"3,000",606,"2,172",222,,,,,,,
        Total area actually reporting,100.0%,647,9,81,73,484,"7,003","1,302","5,323",378,,,,,,,
"        Rate per 100,000 inhabitants",,220.7,3.1,27.6,24.9,165.1,"2,388.5",444.1,"1,815.5",128.9,,,,,,,
"Greensboro-High Point, NC M.S.A.","672,072",,,,,,,,,,,,,,,,
"    (Includes Guilford, Randolph, and Rockingham Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Greensboro,"232,761","1,711",14,104,802,791,"13,754","3,441","9,232","1,081",,,,,,,
            High Point,"91,635",658,10,41,221,386,"5,728","1,792","3,443",493,,,,,,,
        Total area actually reporting,99.4%,"3,030",37,188,"1,220","1,585","31,051","8,267","20,588","2,196",,,,,,,
        Estimated total,100.0%,"3,046",37,189,"1,225","1,595","31,261","8,312","20,743","2,206",,,,,,,
"        Rate per 100,000 inhabitants",,453.2,5.5,28.1,182.3,237.3,"4,651.4","1,236.8","3,086.4",328.2,,,,,,,
"Greenville, NC M.S.A.","161,209", ,,,,, ,,,,,,,,,,
    (Includes Greene and Pitt Counties.),,,,,,,,,,,,,,,,,
        City of Greenville,"68,261",497,4,22,169,302,"4,474","1,364","2,906",204,,,,,,,
        Total area actually reporting,100.0%,931,10,53,242,626,"7,734","2,283","5,074",377,,,,,,,
"        Rate per 100,000 inhabitants",,577.5,6.2,32.9,150.1,388.3,"4,797.5","1,416.2","3,147.5",233.9,,,,,,,
"Greenville, SC M.S.A.","585,584", ,,,,, ,,,,,,,,,,
"    (Includes Greenville, Laurens, and Pickens Counties.)",,,,,,,,,,,,,,,,,
        City of Greenville,"56,613",638,6,34,128,470,"4,191",739,"3,136",316,,,,,,,
        Total area actually reporting,100.0%,"4,024",36,238,633,"3,117","23,206","5,442","15,743","2,021",,,,,,,
"        Rate per 100,000 inhabitants",,687.2,6.1,40.6,108.1,532.3,"3,962.9",929.3,"2,688.4",345.1,,,,,,,
"Gulfport-Biloxi, MS M.S.A.","250,839",,,,,,,,,,,,,,,,
"    (Includes Hancock, Harrison, and Stone Counties.)",, , ,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Gulfport,"72,350",279,6,47,166,60,"5,322","1,067","3,936",319,,,,,,,
            Biloxi,"49,341",284,3,33,117,131,"3,370","1,291","1,867",212,,,,,,,
        Total area actually reporting,87.9%,759,12,117,335,295,"12,615","3,191","8,739",685,,,,,,,
        Estimated total,100.0%,819,14,125,346,334,"13,267","3,382","9,124",761,,,,,,,
"        Rate per 100,000 inhabitants",,326.5,5.6,49.8,137.9,133.2,"5,289.0","1,348.3","3,637.4",303.4,,,,,,,
"Hanford-Corcoran, CA M.S.A.","140,162",,,,,,,,,,,,,,,,
    (Includes Kings County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Hanford,"45,891",191,2,13,42,134,"2,050",267,"1,550",233,,,,,,,
            Corcoran,"21,835",34,0,1,7,26,216,84,113,19,,,,,,,
        Total area actually reporting,100.0%,462,6,44,75,337,"3,870",756,"2,519",595,,,,,,,
"        Rate per 100,000 inhabitants",,329.6,4.3,31.4,53.5,240.4,"2,761.1",539.4,"1,797.2",424.5,,,,,,,
"Harrisburg-Carlisle, PA M.S.A.","519,177",,,,,,,,,,,,,,,,
"    (Includes Cumberland, Dauphin, and Perry Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Harrisburg,"48,482",646,11,51,343,241,"2,077",487,"1,457",133,,,,,,,
            Carlisle,"18,170",51,0,9,22,20,452,71,363,18,,,,,,,
        Total area actually reporting,94.4%,"1,524",15,159,581,769,"11,306","2,049","8,705",552,,,,,,,
        Estimated total,100.0%,"1,591",15,163,599,814,"11,930","2,138","9,198",594,,,,,,,
"        Rate per 100,000 inhabitants",,306.4,2.9,31.4,115.4,156.8,"2,297.9",411.8,"1,771.7",114.4,,,,,,,
"Harrisonburg, VA M.S.A.","111,635", ,,,,, ,,,,,,,,,,
    (Includes Rockingham County and Harrisonburg City.),,,,,,,,,,,,,,,,,
        City of Harrisonburg,"41,580",120,1,20,27,72,"1,287",301,905,81,,,,,,,
        Total area actually reporting,100.0%,158,2,33,30,93,"1,957",458,"1,380",119,,,,,,,
"        Rate per 100,000 inhabitants",,141.5,1.8,29.6,26.9,83.3,"1,753.0",410.3,"1,236.2",106.6,,,,,,,
"Hickory-Lenoir-Morganton, NC M.S.A.","355,720",,,,,,,,,,,,,,,,
"    (Includes Alexander, Burke, Caldwell, and Catawba Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Hickory,"40,105",295,4,23,101,167,"3,086",758,"2,215",113,,,,,,,
            Lenoir,"18,238",45,1,2,8,34,709,153,511,45,,,,,,,
            Morganton,"17,536",65,0,2,25,38,760,186,544,30,,,,,,,
        Total area actually reporting,99.3%,849,12,85,210,542,"11,553","3,531","7,445",577,,,,,,,
        Estimated total,100.0%,859,12,86,213,548,"11,683","3,559","7,541",583,,,,,,,
"        Rate per 100,000 inhabitants",,241.5,3.4,24.2,59.9,154.1,"3,284.3","1,000.5","2,119.9",163.9,,,,,,,
"Hinesville-Fort Stewart, GA M.S.A.","70,867",,,,,,,,,,,,,,,,
    (Includes Liberty and Long Counties.),, ,,,,,,,,,,,,,,,
        City of Hinesville,"29,886",169,1,13,50,105,"2,008",401,"1,527",80,,,,,,,
        Total area actually reporting,96.3%,273,3,20,63,187,"2,934",658,"2,152",124,,,,,,,
        Estimated total,100.0%,289,3,21,68,197,"3,082",682,"2,261",139,,,,,,,
"        Rate per 100,000 inhabitants",,407.8,4.2,29.6,96.0,278.0,"4,349.0",962.4,"3,190.5",196.1,,,,,,,
"Holland-Grand Haven, MI M.S.A.","250,198",,,,,,,,,,,,,,,,
    (Includes Ottawa County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Holland,"27,355",108,0,27,9,72,969,138,806,25,,,,,,,
            Grand Haven,"10,877",22,0,11,2,9,392,67,310,15,,,,,,,
        Total area actually reporting,97.1%,475,2,176,31,266,"4,999","1,014","3,775",210,,,,,,,
        Estimated total,100.0%,496,2,179,36,279,"5,209","1,049","3,926",234,,,,,,,
"        Rate per 100,000 inhabitants",,198.2,0.8,71.5,14.4,111.5,"2,082.0",419.3,"1,569.2",93.5,,,,,,,
"Honolulu, HI M.S.A.","906,589", ,,,,, ,,,,,,,,,,
    (Includes Honolulu County.),,,,,,,,, ,,,,,,,,
        City of Honolulu,"906,589","2,507",26,222,818,"1,441","44,121","7,240","29,512","7,369",,,,,,,
        Total area actually reporting,100.0%,"2,507",26,222,818,"1,441","44,121","7,240","29,512","7,369",,,,,,,
"        Rate per 100,000 inhabitants",,276.5,2.9,24.5,90.2,158.9,"4,866.7",798.6,"3,255.3",812.8,,,,,,,
"Hot Springs, AR M.S.A.1","92,088",,,,,,,,,,,,,,,,
    (Includes Garland County.),, ,,,,,,,,,,,,,,,
        City of Hot Springs,"37,133",442,7,17,90,328,"4,973","1,311","3,361",301,,,,,,,
        Total area actually reporting,99.1%,570,8,34,102,426,"7,971","2,624","4,787",560,,,,,,,
        Estimated total,100.0%,574,8,34,103,429,"8,007","2,633","4,812",562,,,,,,,
"        Rate per 100,000 inhabitants",,623.3,8.7,36.9,111.8,465.9,"8,694.9","2,859.2","5,225.4",610.3,,,,,,,
"Houma-Bayou Cane-Thibodaux, LA M.S.A.","198,242",,,,,,,,,,,,,,,,
    (Includes Lafourche and Terrebonne Parishes.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Houma,"32,163",453,5,26,76,346,"1,964",314,"1,542",108,,,,,,,
            Thibodaux,"14,526",100,2,15,18,65,768,135,605,28,,,,,,,
        Total area actually reporting,98.7%,"1,073",16,92,166,799,"8,459","1,863","6,086",510,,,,,,,
        Estimated total,100.0%,"1,089",16,93,169,811,"8,616","1,887","6,210",519,,,,,,,
"        Rate per 100,000 inhabitants",,549.3,8.1,46.9,85.2,409.1,"4,346.2",951.9,"3,132.5",261.8,,,,,,,
"Houston-Sugar Land-Baytown, TX M.S.A.","5,160,979",,,,,,,,,,,,,,,,
"  (Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, San Jacinto, and Waller Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Houston,"2,043,446","23,427",272,908,"10,182","12,065","123,425","27,110","74,752","21,563",,,,,,,
            Sugar Land,"72,004",155,2,15,62,76,"1,712",234,"1,385",93,,,,,,,
            Baytown,"68,381",279,6,31,84,158,"2,912",657,"2,039",216,,,,,,,
            Galveston,"57,619",487,4,72,144,267,"3,346",752,"2,282",312,,,,,,,
        Total area actually reporting,99.9%,"37,343",414,"2,020","13,632","21,277","225,452","51,335","143,120","30,997",,,,,,,
        Estimated total,100.0%,"37,344",414,"2,020","13,632","21,278","225,474","51,339","143,136","30,999",,,,,,,
"        Rate per 100,000 inhabitants",,723.6,8.0,39.1,264.1,412.3,"4,368.8",994.8,"2,773.4",600.6,,,,,,,
"Huntington-Ashland, WV-KY-OH M.S.A.","287,613",,,,,,,,,,,,,,,,
"    (Includes Boyd and Greenup Counties, KY; Lawrence County, OH; and Cabell and Wayne Counties, WV.) ",,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
"            Huntington, WV","49,670",300,3,56,130,111,"3,520",868,"2,364",288,,,,,,,
