Table 6,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2002",,, ,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,
         Total area actually reporting,88.6%,"8,914", ,918,"7,996",7,56,203,652,"1,755","5,352",889,,,,,
         Estimated total,100.0%,"9,962",,987,"8,975",7,58,213,709,"1,903","6,121",951,,,,,
"         Rate per 100,000 inhabitants",,"3,972.8", ,393.6,"3,579.1",2.8,23.1,84.9,282.7,758.9,"2,441.0",379.3,,,,,
"Charleston-North Charleston, SC M.S.A.","562,057",,,,,,,,,,,,,,,,
"    (Includes Berkeley, Charleston, and Dorchester Counties.)",,,,,,,,,,,,,,,,,
         City of: , , ,,,,,,,,,,,,,,,
            Charleston,"98,942","6,997",,850,"6,147",13,37,259,541,"1,021","4,254",872,,,,,
            North Charleston,"81,530","8,884",,"1,354","7,530",16,103,441,794,"1,357","4,891","1,282",,,,,
         Total area actually reporting,99.7%,"32,512",,"4,712","27,800",52,278,"1,069","3,313","5,525","18,579","3,696",,,,,
         Estimated total,100.0%,"32,617",,"4,724","27,893",52,279,"1,071","3,322","5,541","18,650","3,702",,,,,
"         Rate per 100,000 inhabitants", ,"5,803.1",,840.5,"4,962.7",9.3,49.6,190.6,591.0,985.8,"3,318.2",658.7,,,,,
"Chattanooga, TN-GA M.S.A.","477,446",,,,,,,,,,,,,,,,
"    (Includes Hamilton and Marion Counties, TN and Catoosa, Dade, and Walker Counties, GA.)",,,,,,,,,,,,,,,,,
"         City of Chattanooga, TN","158,507","15,867",,"2,399","13,468",24,112,625,"1,638","2,574","9,462","1,432",,,,,
         Total area actually reporting,100.0%,"26,278",,"3,388","22,890",38,168,727,"2,455","4,759","16,003","2,128",,,,,
"         Rate per 100,000 inhabitants", ,"5,503.9",,709.6,"4,794.3",8.0,35.2,152.3,514.2,996.8,"3,351.8",445.7,,,,,
"Cheyenne, WY M.S.A.","82,418",,,,,,,,,,,,,,,,
    (Includes Laramie County.),,,,, , , , , , , , , ,,,,
         City of Cheyenne,"53,539","2,476",,108,"2,368",2,15,26,65,219,"2,061",88,,,,,
         Total area actually reporting,100.0%,"3,266",,183,"3,083",2,40,33,108,321,"2,640",122,,,,,
"         Rate per 100,000 inhabitants",,"3,962.7 ",,222.0,"3,740.7",2.4,48.5,40.0,131.0,389.5,"3,203.2",148.0,,,,,
"Chico-Paradise, CA M.S.A.","210,636",,,,,,,,,,,,,,,,
    (Includes Butte County.),, ,,, , , , , , , , , ,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Chico,"62,157","2,665",,270,"2,395",2,47,75,146,647,"1,242",506,,,,,
            Paradise,"27,378","1,005",,68,937,2,3,7,56,265,616,56,,,,,
         Total area actually reporting,100.0%,"8,337",,675,"7,662",4,74,148,449,"2,078","4,129","1,455",,,,,
"         Rate per 100,000 inhabitants", ,"3,958.0", ,320.5,"3,637.6",1.9,35.1,70.3,213.2,986.5,"1,960.3",690.8,,,,,
"Cincinnati, OH-KY-IN M.S.A.","1,659,096",,,,,,,,,,,,,,,,
"    (Includes Brown, Clermont, Hamilton, and Warren Counties, OH, Boone, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY, and Dearborn and Ohio Counties, IN.)",,,,,,,,,,,,,,,,,
"         City of Cincinnati, OH","333,273","29,205",,"4,193","25,012",64,388,"2,412","1,329","6,461","14,526","4,025",,,,,
         Total area actually reporting,75.7%,"56,233",,"5,691","50,542",78,655,"2,938","2,020","10,613","34,283","5,646",,,,,
         Estimated total,100.0%,"75,349",,"7,163","68,186",82,768,"3,226","3,087","13,441","47,933","6,812",,,,,
"         Rate per 100,000 inhabitants", ,"4,541.6",,431.7,"4,109.8",4.9,46.3,194.4,186.1,810.1,"2,889.1",410.6,,,,,
"Clarksville-Hopkinsville, TN-KY M.S.A.","210,505",,,,,,,,,,,,,,,,
"    (Includes Christian County, KY and Montgomery County, TN.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Clarksville, TN","105,419","5,962",,594,"5,368",6,44,82,462,768,"4,330",270,,,,,
"            Hopkinsville, KY","30,469","2,008",,119,"1,889",3,25,58,33,515,"1,300",74,,,,,
         Total area actually reporting,79.7%,"8,830",,796,"8,034",9,74,147,566,"1,509","6,133",392,,,,,
         Estimated total,100.0%,"10,410",,967,"9,443",10,84,167,706,"1,799","7,137",507,,,,,
"         Rate per 100,000 inhabitants", ,"4,945.3",,459.4,"4,485.9",4.8,39.9,79.3,335.4,854.6,"3,390.4",240.8,,,,,
"Colorado Springs, CO M.S.A.","541,600",, , , ,,,,,, ,,,,,,
    (Includes El Paso County.),,,, ,,,,,,,,,,,,,
         City of Colorado Springs,"378,114","21,817",,"2,032","19,785",25,275,497,"1,235","4,063","14,137","1,585",,,,,
         Total area actually reporting,99.7%,"25,438",,"2,395","23,043",39,303,552,"1,501","4,898","16,295","1,850",,,,,
         Estimated total,100.0%,"25,528",,"2,402","23,126",39,304,554,"1,505","4,910","16,354","1,862",,,,,
"         Rate per 100,000 inhabitants",,"4,713.4",,443.5,"4,269.9",7.2,56.1,102.3,277.9,906.6,"3,019.6",343.8,,,,,
"Columbia, MO M.S.A.","137,327",,,,,, ,,,,,,,,,,
    (Includes Boone County.),,,, , , , , , , , , , ,,,,
         City of Columbia,"85,700","3,837",,410,"3,427",2,31,90,287,432,"2,801",194,,,,,
         Total area actually reporting,100.0%,"5,326",,488,"4,838",3,37,105,343,663,"3,910",265,,,,,
"         Rate per 100,000 inhabitants",,"3,878.3",,355.4,"3,523.0",2.2,26.9,76.5,249.8,482.8,"2,847.2",193.0,,,,,
"Columbia, SC M.S.A.","549,421",,,,,,,,,,,,,,,,
    (Includes Lexington and Richland Counties.),,,,,,,,,,,,,,,,,
         City of Columbia,"119,036","10,307",,"1,539","8,768",10,83,497,949,"1,639","6,213",916,,,,,
         Total area actually reporting,100.0%,"32,741",,"4,829","27,912",41,272,"1,156","3,360","6,239","18,819","2,854",,,,,
"         Rate per 100,000 inhabitants",,"5,959.2",,878.9,"5,080.3",7.5,49.5,210.4,611.6,"1,135.6","3,425.2",519.5,,,,,
"Columbus, GA-AL M.S.A.","285,336",,,,,,,,,,,,,,,,
"    (Includes Chattahoochee, Harris, and Muscogee Counties, GA and Russell County, AL.)",,,,,,,,,,,,,,,,,
"         City of Columbus, GA","194,265","12,382",,831,"11,551",20,25,359,427,"1,937","8,595","1,019",,,,,
         Total area actually reporting,99.4%,"14,279",,"1,007","13,272",25,33,405,544,"2,396","9,685","1,191",,,,,
         Estimated total,100.0%,"14,386",,"1,015","13,371",25,33,408,549,"2,413","9,758","1,200",,,,,
"         Rate per 100,000 inhabitants",,"5,041.8",,355.7,"4,686.1",8.8,11.6,143.0,192.4,845.7,"3,419.8",420.6,,,,,
"Columbus, OH M.S.A.","1,549,398",,,,,,,,,,,,,,,,
"    (Includes Delaware, Fairfield, Franklin, Licking, Madison, and Pickaway Counties.)",,,,, , , , , ,, , , ,,,,
         City of: ,,,,,,,,,,,,,,,,,
             Columbus,"715,739","66,261",,"6,499","59,762",81,673,"3,503","2,242","16,066","36,063","7,633",,,,,
             Newark,"46,556","2,598",,99,"2,499",2,19,41,37,552,"1,843",104,,,,,
             Lancaster,"35,547","1,320",,79,"1,241",0,19,35,25,280,882,79,,,,,
         Total area actually reporting,93.5%,"93,682",,"7,738","85,944",102,937,"4,053","2,646","21,976","54,671","9,297",,,,,
         Estimated total,100.0%,"96,581",,"7,891","88,690",103,962,"4,109","2,717","22,467","56,731","9,492",,,,,
"         Rate per 100,000 inhabitants",,"6,233.5",,509.3,"5,724.2",6.6,62.1,265.2,175.4,"1,450.0","3,661.5",612.6,,,,,
"Corpus Christi, TX M.S.A.","397,732",, ,,,,,,,,,,,,,,
    (Includes Nueces and San Patricio Counties.),,,,,,,,,,,,,,,,,
         City of Corpus Christi,"289,803","21,237",,"2,063","19,174",19,243,511,"1,290","3,581","14,147","1,446", ,,,,
         Total area actually reporting,100.0%,"25,395",,"2,442","22,953",23,288,559,"1,572","4,483","16,845","1,625",,,,,
"         Rate per 100,000 inhabitants",,"6,385.0",,614.0,"5,771.0",5.8,72.4,140.5,395.2,"1,127.1","4,235.3",408.6,,,,,
"Cumberland, MD-WV M.S.A.","104,197",,,,,,,,,,,,,,,,
"    (Includes Allegany County, MD and Mineral County, WV.)",,,,, , , , , , , , ,,,,,
"         City of Cumberland, MD","22,175","1,262",,133,"1,129",0,15,15,103,245,837,47,,,,,
         Total area actually reporting,99.3%,"2,881",,293,"2,588",1,28,24,240,604,"1,866",118,,,,,
         Estimated total,100.0%,"2,909",,295,"2,614",1,28,24,242,608,"1,886",120,,,,,
"         Rate per 100,000 inhabitants",,"2,791.8",,283.1,"2,508.7",1.0,26.9,23.0,232.3,583.5,"1,810.0",115.2,,,,,
"Dallas, TX M.S.A.","3,675,809",,,,,,,,,,,,,,,,
"    (Includes Collin, Dallas, Denton, Ellis, Henderson, Hunt, Kaufman, and Rockwall Counties.)",,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,
             Dallas,"1,241,481","112,040",,"17,018","95,022",196,656,"8,041","8,125","20,351","56,306","18,365",,,,,
             Irving,"200,144","10,812",,803,"10,009",5,47,250,501,"1,634","7,077","1,298",,,,,
             Denton,"84,121","3,880",,374,"3,506",2,65,78,229,673,"2,655",178,,,,,
         Total area actually reporting,99.9%,"215,925",,"25,073","190,852",285,"1,373","10,019","13,396","40,175","123,053","27,624",,,,,
         Estimated total,100.0%,"216,112",,"25,086","191,026",285,"1,374","10,022","13,405","40,208","123,181","27,637",,,,,
"         Rate per 100,000 inhabitants",,"5,879.3",,682.5,"5,196.8",7.8,37.4,272.6,364.7,"1,093.9","3,351.1",751.9,,,,,
"Danbury, CT M.S.A.","195,751",,,,,,,,,,,,,,,,
    (Includes part of Fairfield and Litchfield Counties.),,,,, , , , , , , , ,,,,,
         City of Danbury,"76,055","2,198",,153,"2,045",2,23,66,62,281,"1,577",187,,,,,
         Total area actually reporting,100.0%,"3,411",,214,"3,197",3,34,78,99,513,"2,444",240,,,,,
"         Rate per 100,000 inhabitants",,"1,742.5", ,109.3,"1,633.2",1.5,17.4,39.8,50.6,262.1,"1,248.5",122.6,,,,,
"Danville, VA M.S.A.","113,502",,,,,,,,,,,,,,,,
    (Includes Pittsylvania County and Danville City.),,,,, , , , , , , , ,,,,,
         City of Danville,"49,882","2,265",,301,"1,964",3,13,69,216,289,"1,575",100,,,,,
         Total area actually reporting,100.0%,"2,825",,389,"2,436",8,26,80,275,483,"1,806",147,,,,,
"         Rate per 100,000 inhabitants",,"2,488.9", ,342.7,"2,146.2",7.0,22.9,70.5,242.3,425.5,"1,591.2",129.5,,,,,
"Daytona Beach, FL M.S.A.","515,725",,,,,,,,,,,,,,,,
    (Includes Flagler and Volusia Counties.),,,,, , , , ,, , , ,,,,,
         City of Daytona Beach,"67,043","7,181",,935,"6,246",15,85,404,431,"1,790","3,566",890,,,,,
         Total area actually reporting,99.1%,"23,534",,"3,229","20,305",32,250,713,"2,234","5,587","12,810","1,908",,,,,
         Estimated total,100.0%,"23,774",,"3,257","20,517",32,251,721,"2,253","5,630","12,956","1,931",,,,,
"         Rate per 100,000 inhabitants",,"4,609.8",,631.5,"3,978.3",6.2,48.7,139.8,436.9,"1,091.7","2,512.2",374.4,,,,,
"Dayton-Springfield, OH M.S.A.","956,261",,,,,,,,,,,,,,,,
"    (Includes Clark, Greene, Miami, and Montgomery Counties.)",,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,
             Dayton,"167,176","15,932",,"2,029","13,903",42,193,"1,066",728,"3,903","7,311","2,689",,,,,
             Springfield,"65,750","7,226",,587,"6,639",7,79,287,214,"1,620","4,425",594,,,,,
             Fairborn,"32,244","1,672",,87,"1,585",1,26,27,33,277,"1,211",97,,,,,
         Total area actually reporting,93.4%,"45,165",,"3,597","41,568",56,504,"1,804","1,233","9,374","27,112","5,082",,,,,
         Estimated total,100.0%,"47,131",,"3,702","43,429",57,520,"1,843","1,282","9,676","28,542","5,211",,,,,
"         Rate per 100,000 inhabitants",,"4,928.7", ,387.1,"4,541.5",6.0,54.4,192.7,134.1,"1,011.9","2,984.7",544.9,,,,,
"Decatur, AL M.S.A.","147,160",,,,,,,,,,,,,,,,
    (Includes Lawrence and Morgan Counties.),,,,,,,,,,,,,,,,,
         City of Decatur,"54,324","3,803",,217,"3,586",4,17,105,91,771,"2,701",114,,,,,
         Total area actually reporting,98.1%,"5,177",,290,"4,887",6,23,119,142,"1,153","3,531",203,,,,,
         Estimated total,100.0%,"5,313",,302,"5,011",6,24,123,149,"1,176","3,623",212,,,,,
"         Rate per 100,000 inhabitants",,"3,610.4",,205.2,"3,405.1",4.1,16.3,83.6,101.3,799.1,"2,461.9",144.1,,,,,
"Denver, CO M.S.A.","2,232,454",,,,,,,,,,,,,,,,
"    (Includes Adams, Arapahoe, Denver, Douglas, and Jefferson Counties.)",,,,,,,,,,,,, ,,,,
         City of Denver,"581,105","32,132",,"3,107","29,025",51,324,"1,193","1,539","6,117","15,467","7,441",,,,,
         Total area actually reporting,93.9%,"100,584",,"8,104","92,480",97,986,"2,338","4,683","15,788","59,749","16,943",,,,,
         Estimated total,100.0%,"107,627",,"8,621","99,006",102,"1,052","2,461","5,006","16,732","64,384","17,890",,,,,
"         Rate per 100,000 inhabitants",,"4,821.0",,386.2,"4,434.9",4.6,47.1,110.2,224.2,749.5,"2,884.0",801.4,,,,,
"Des Moines, IA M.S.A.","457,650",,,,,,,,,,,, ,,,,
"    (Includes Dallas, Polk, and Warren Counties.)",,,,, , , , , , , , ,,,,,
         City of Des Moines,"199,390","13,776",,776,"13,000",9,113,290,364,"1,676","10,313","1,011",,,,,
         Total area actually reporting,97.3%,"21,670",,"1,278","20,392",12,152,347,767,"2,866","16,068","1,458",,,,,
         Estimated total,100.0%,"22,071",,"1,300","20,771",12,154,350,784,"2,916","16,382","1,473",,,,,
"         Rate per 100,000 inhabitants",,"4,822.7",,284.1,"4,538.6",2.6,33.7,76.5,171.3,637.2,"3,579.6",321.9,,,,,
"Detroit, MI M.S.A.","4,491,605",,,,,,,,,,,,,,,,
"    (Includes Lapeer, Macomb, Monroe, Oakland, St. Clair, and Wayne Counties.)",,,,,,,,,,,,,,,,,
         City of: ,,,,,,,,,,,,,,,,,
            Detroit,"961,987","85,035",,"19,940","65,095",402,708,"6,288","12,542","14,399","26,839","23,857",,,,,
            Dearborn,"98,877","5,681",,"1,109","4,572",3,29,131,946,536,"3,099",937,,,,,
            Pontiac,"67,085","4,004",,"1,094","2,910",5,79,193,817,989,"1,464",457,,,,,
            Port Huron,"32,703","1,379",,193,"1,186",0,47,30,116,191,898,97,,,,,
         Total area actually reporting,99.3%,"191,946",,"31,566","160,380",490,"1,907","8,564","20,605","31,535","92,079","36,766",,,,,
         Estimated total,100.0%,"193,042",,"31,665","161,377",491,"1,917","8,584","20,673","31,708","92,793","36,876",,,,,
"         Rate per 100,000 inhabitants",,"4,297.8",,705.0,"3,592.9",10.9,42.7,191.1,460.3,705.9,"2,065.9",821.0,,,,,
"Dover, DE M.S.A.","130,543",,,,,,,,,,,,,,,,
    (Includes Kent County.),,,,,, , ,, , , , ,,,,,
         City of Dover,"33,110","1,923",,183,"1,740",1,15,50,117,105,"1,528",107,,,,,
         Total area actually reporting,99.5%,"5,029",,823,"4,206",3,66,107,647,760,"3,214",232,,,,,
         Estimated total,100.0%,"5,070",,828,"4,242",3,66,108,651,766,"3,242",234,,,,,
"         Rate per 100,000 inhabitants",,"3,883.8",,634.3,"3,249.5",2.3,50.6,82.7,498.7,586.8,"2,483.5",179.3,,,,,
"Dubuque, IA M.S.A.","89,461",, ,,,,,,,,,,,,,,
    (Includes Dubuque County.),,,, ,,,,,,,,,,,,,
         City of Dubuque,"57,891","2,095",,160,"1,935",1,16,8,135,402,"1,407",126,,,,,
         Total area actually reporting,100.0%,"2,420",,200,"2,220",1,20,8,171,482,"1,584",154,,,,,
"         Rate per 100,000 inhabitants",,"2,705.1",,223.6,"2,481.5",1.1,22.4,8.9,191.1,538.8,"1,770.6",172.1,,,,,
"Duluth-Superior, MN-WI M.S.A.","248,526",,,,,,,,,,,,,,,,
"    (Includes St. Louis County, MN and Douglas County, WI.)",,,,,,,,,,,,,,,,,
        City of:, ,,,,,,, ,,,,,,,,,
"            Duluth, MN","88,689","5,340",,383,"4,957",3,54,93,233,780,"3,867",310,,,,,
"            Superior, WI","27,764","1,803",,72,"1,731",0,16,15,41,274,"1,380",77,,,,,
         Total area actually reporting,100.0%,"10,541",,625,"9,916",4,126,122,373,"2,020","7,286",610,,,,,
"         Rate per 100,000 inhabitants", ,"4,241.4", ,251.5,"3,989.9",1.6,50.7,49.1,150.1,812.8,"2,931.7",245.4,,,,,
"Dutchess County, NY M.S.A.","282,823",,,,,,,,, , , ,,,,,
    (Includes Dutchess County.),,,,, , , , , , , , ,,,,,
         City of Poughkeepsie,"30,156 ","1,306",,284,"1,022",3,17,123,141,209,742,71,,,,,
         Total area actually reporting,97.2%,"5,920",,684,"5,236",6,49,191,438,890,"4,060",286,,,,,
         Estimated total,100.0%,"6,109",,700,"5,409",6,50,196,448,915,"4,196",298,,,,,
"         Rate per 100,000 inhabitants",,"2,160.0",,247.5,"1,912.5",2.1,17.7,69.3,158.4,323.5,"1,483.6",105.4,,,,,
"Eau Claire, WI M.S.A.","150,481",, ,,,,,,,,,,,,,,
    (Includes Chippewa and Eau Claire Counties.),,,,,,,,,,,,,,,,,
         City of Eau Claire,"62,596","2,792",,155,"2,637",1,14,17,123,475,"2,017",145,,,,,
         Total area actually reporting,99.0%,"4,513",,202,"4,311",1,28,22,151,721,"3,359",231,,,,,
         Estimated total,100.0%,"4,556",,204,"4,352",1,28,23,152,726,"3,393",233,,,,,
"         Rate per 100,000 inhabitants",,"3,027.6",,135.6,"2,892.1",0.7,18.6,15.3,101.0,482.5,"2,254.8",154.8,,,,,
"Elkhart-Goshen, IN M.S.A.","185,154",,,,,,,,,,,, ,,,,
    (Includes Elkhart County.),, , ,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Elkhart,"52,545","4,288",,214,"4,074",7,28,154,25,877,"2,943",254,,,,,
            Goshen,"29,763","1,430",,185,"1,245",0,2,4,179,136,"1,063",46,,,,,
         Total area actually reporting,100.0%,"7,821",,509,"7,312",8,38,182,281,"1,662","5,151",499,,,,,
"         Rate per 100,000 inhabitants", ,"4,224.1", ,274.9,"3,949.1",4.3,20.5,98.3,151.8,897.6,"2,782.0",269.5,,,,,
"El Paso, TX M.S.A.","709,871",,,,,,,,,,,,,,,,
    (Includes El Paso County.),,,,, , , , , , , , ,,,,,
         City of El Paso,"588,750","26,998",,"3,892","23,106",14,221,575,"3,082","2,221","18,887","1,998",,,,,
         Total area actually reporting,100.0%,"30,012",,"4,300","25,712",17,272,601,"3,410","2,711","20,754","2,247",,,,,
"         Rate per 100,000 inhabitants",,"4,227.8",,605.7,"3,622.1",2.4,38.3,84.7,480.4,381.9,"2,923.6",316.5,,,,,
"Enid, OK M.S.A.","58,534",,,,,,,,,,,,,,,,
    (Includes Garfield County.),,,,,,,,,,,,,,,,,
         City of Enid,"47,632","2,985",,251,"2,734",0,34,25,192,638,"1,969",127,,,,,
         Total area actually reporting,100.0%,"3,171",,255,"2,916",0,35,25,195,685,"2,096",135,,,,,
"         Rate per 100,000 inhabitants",,"5,417.4",,435.6,"4,981.7",0.0,59.8,42.7,333.1,"1,170.3","3,580.8",230.6,,,,,
"Erie, PA M.S.A.","282,078",,,,,,,,,,,,,,,,
    (Includes Erie County.),,,, ,, ,,,,,,,,,,,
         City of Erie,"104,173","3,560",,450,"3,110",4,71,196,179,702,"2,241",167, ,,,,
         Total area actually reporting,98.1%,"6,975",,751,"6,224",7,112,236,396,"1,439","4,459",326,,,,,
         Estimated total,100.0%,"7,098",,763,"6,335",7,113,239,404,"1,455","4,546",334,,,,,
"         Rate per 100,000 inhabitants",,"2,516.3",,270.5,"2,245.8",2.5,40.1,84.7,143.2,515.8,"1,611.6",118.4,,,,,
"Eugene-Springfield, OR M.S.A.","332,409",,,,,,,,,,,,,,,,
    (Includes Lane County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,, ,,,,
            Eugene,"141,928","9,308",,469,"8,839",2,56,155,256,"1,209","6,824",806,,,,,
            Springfield,"54,411","4,063",,118,"3,945",0,11,29,78,464,"3,071",410,,,,,
         Total area actually reporting,100.0%,"16,667",,817,"15,850",6,97,221,493,"2,486","11,858","1,506",,,,,
"         Rate per 100,000 inhabitants", ,"5,014.0", ,245.8,"4,768.2",1.8,29.2,66.5,148.3,747.9,"3,567.3",453.1,,,,,
"Fargo-Moorhead, ND-MN M.S.A.","173,858",,,,,,,,,,,,,,,,
"    (Includes Cass County, ND and Clay County, MN.)",,,,, , , , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Fargo, ND","89,458","3,266",,124,"3,142",0,49,14,61,396,"2,547",199, ,,,,
"            Moorhead, MN","32,833","1,264",,83,"1,181",0,20,6,57,142,968,71,,,,,
         Total area actually reporting,100.0%,"5,629",,248,"5,381",0,78,20,150,766,"4,276",339,,,,,
"         Rate per 100,000 inhabitants",,"3,237.7",,142.6,"3,095.1",0.0,44.9,11.5,86.3,440.6,"2,459.5",195.0,,,,,
"Fayetteville, NC M.S.A.3","313,156",,,,,,,,,,,,,,,,
    (Includes Cumberland County.),,,,,,,,,,,,,,,,,
         City of Fayetteville3,"125,087","10,594",,"1,143","9,451",20,54,435,634,"2,273","6,480",698,,,,,
         Total area actually reporting,100.0%,"19,468",,"1,998","17,470",40,98,678,"1,182","5,084","11,223","1,163",,,,,
"         Rate per 100,000 inhabitants",,"6,216.7", ,638.0,"5,578.7",12.8,31.3,216.5,377.4,"1,623.5","3,583.8",371.4,,,,,
"Fitchburg-Leominster, MA M.S.A.","144,047",,,,,,,,,,,, ,,,,
    (Includes part of Middlesex and Worcester Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Fitchburg,"39,587","1,699",,293,"1,406",3,40,67,183,361,915,130,,,,,
            Leominster,"41,815","1,195",,63,"1,132",0,6,28,29,151,888,93,,,,,
         Total area actually reporting,80.5%,"3,536",,465,"3,071",3,49,100,313,668,"2,131",272,,,,,
         Estimated total,100.0%,"4,128",,537,"3,591",3,54,111,369,772,"2,493",326,,,,,
"         Rate per 100,000 inhabitants",,"2,865.7", ,372.8,"2,492.9",2.1,37.5,77.1,256.2,535.9,"1,730.7",226.3,,,,,
"Flagstaff, AZ-UT M.S.A.","129,978",,,,,,,,,,,,,,,,
"    (Includes Coconino County, AZ and Kane County, UT.)",,,,,,,,,,,,,,,,,
"         City of Flagstaff, AZ","56,253","5,597",,535,"5,062",1,48,62,424,720,"4,042",300,,,,,
         Total area actually reporting,95.7%,"7,568",,711,"6,857",2,70,69,570,"1,090","5,388",379,,,,,
         Estimated total,100.0%,"7,853",,727,"7,126",2,72,73,580,"1,141","5,571",414,,,,,
"         Rate per 100,000 inhabitants",,"6,041.8", ,559.3,"5,482.5",1.5,55.4,56.2,446.2,877.8,"4,286.1",318.5,,,,,
"Flint, MI M.S.A.3","441,056",,,,,,,,,,,,,,,,
    (Includes Genesee County.),,,,, , , , , , , , ,,,,,
         City of Flint3,"126,351","9,714",,"1,713","8,001",30,101,449,"1,133","2,261","4,398","1,342",,,,,
         Total area actually reporting,99.9%,"21,554",,"2,762","18,792",39,241,662,"1,820","4,612","11,787","2,393",,,,,
         Estimated total,100.0%,"21,566",,"2,763","18,803",39,241,662,"1,821","4,614","11,795","2,394",,,,,
"         Rate per 100,000 inhabitants",,"4,889.6", ,626.5,"4,263.2",8.8,54.6,150.1,412.9,"1,046.1","2,674.3",542.8,,,,,
"Florence, AL M.S.A.","144,217",,,,,,,,,,,,,,,,
    (Includes Colbert and Lauderdale Counties.),,,,,,,,,,,,,,,,,
         City of Florence,"36,585","1,869",,173,"1,696",1,16,33,123,327,"1,327",42, ,,,,
         Total area actually reporting,99.2%,"4,189",,281,"3,908",4,24,56,197,818,"2,976",114,,,,,
         Estimated total,100.0%,"4,247",,286,"3,961",4,24,58,200,828,"3,015",118,,,,,
"         Rate per 100,000 inhabitants",,"2,944.9",,198.3,"2,746.6",2.8,16.6,40.2,138.7,574.1,"2,090.6",81.8,,,,,
"Florence, SC M.S.A.","128,744",,,,,,,,,,,,,,,,
    (Includes Florence County.),,,,,,,,,,,,,,,,,
         City of Florence,"30,966","3,635",,387,"3,248",3,19,113,252,540,"2,524",184,,,,,
         Total area actually reporting,98.7%,"8,449",,"1,120","7,329",4,63,243,810,"1,531","5,239",559,,,,,
         Estimated total,100.0%,"8,542",,"1,131","7,411",4,64,245,818,"1,545","5,302",564, ,,,,
"         Rate per 100,000 inhabitants",,"6,634.9",,878.5,"5,756.4",3.1,49.7,190.3,635.4,"1,200.1","4,118.3",438.1,,,,,
"Fort Collins-Loveland, CO M.S.A.","263,497",,,,,,,,,,,,,,,,
    (Includes Larimer County.),,,,,,,,,,,,,,,,,
         City of:, ,,,,,,,,,,,,,,,,
            Fort Collins,"124,315","5,371",,436,"4,935",0,99,35,302,738,"3,990",207,,,,,
            Loveland,"53,023","2,169",,119,"2,050",0,23,18,78,256,"1,706",88,,,,,
         Total area actually reporting,100.0%,"9,901",,714,"9,187",0,165,68,481,"1,408","7,375",404,,,,,
"         Rate per 100,000 inhabitants",,"3,757.5",,271.0,"3,486.6",0.0,62.6,25.8,182.5,534.4,"2,798.9",153.3,,,,,
"Fort Lauderdale, FL M.S.A.","1,697,228",,,,,,,,,,,,,,,,
    (Includes Broward County.),,,,, , , , , , , , ,,,,,
         City of Fort Lauderdale,"159,365","11,681",,"1,407","10,274",12,39,669,687,"2,482","6,418","1,374",,,,,
         Total area actually reporting,100.0%,"73,096",,"9,247","63,849",90,468,"2,979","5,710","12,717","42,822","8,310", ,,,,
"         Rate per 100,000 inhabitants",,"4,306.8", ,544.8,"3,762.0",5.3,27.6,175.5,336.4,749.3,"2,523.1",489.6,,,,,
"Fort Myers-Cape Coral, FL M.S.A.","461,047",,,,,,,,,,,,,,,,
    (Includes Lee County.),,, ,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Fort Myers,"50,412","5,118",,"1,074","4,044",16,28,369,661,742,"2,508",794,,,,,
            Cape Coral,"106,963","4,086",,389,"3,697",3,17,42,327,"1,081","2,394",222,,,,,
         Total area actually reporting,100.0%,"21,515",,"2,977","18,538",42,165,794,"1,976","4,773","11,453","2,312",,,,,
"         Rate per 100,000 inhabitants",,"4,666.6",,645.7,"4,020.8",9.1,35.8,172.2,428.6,"1,035.3","2,484.1",501.5,,,,,
"Fort Pierce-Port St. Lucie, FL M.S.A.","334,032",,,,,,,,,,,,,,,,
    (Includes Martin and St. Lucie Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Fort Pierce,"39,232","4,329",,823,"3,506",8,41,236,538,964,"2,152",390,,,,,
            Port St. Lucie,"92,827","2,922",,270,"2,652",1,19,30,220,737,"1,812",103,,,,,
         Total area actually reporting,100.0%,"14,622",,"2,064","12,558",17,128,433,"1,486","3,398","8,217",943,,,,,
"         Rate per 100,000 inhabitants",,"4,377.4", ,617.9,"3,759.5",5.1,38.3,129.6,444.9,"1,017.3","2,459.9",282.3,,,,,
"Fort Smith, AR-OK M.S.A.","210,086",,,,,,,,,,,,,,,,
