Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,165",,241,"2,924",1,31,34,175,667,"2,135",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,459.6",,415.7,"5,043.9",1.7,53.5,58.7,301.9,"1,150.6","3,682.9",210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erie, PA M.S.A.","280,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Erie County.),,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Erie,"103,768","4,269",,486,"3,783",4,52,227,203,734,"2,828",221, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.7%,"8,103",,697,"7,406",9,100,258,330,"1,405","5,628",373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,190",,705,"7,485",9,101,260,335,"1,416","5,690",379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,914.8",,250.9,"2,663.9",3.2,35.9,92.5,119.2,503.9,"2,025.0",134.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eugene-Springfield, OR M.S.A.","327,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lane County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Eugene,"139,967","9,415",,587,"8,828",2,55,203,327,"1,247","6,893",688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Springfield,"53,659","4,390",,181,"4,209",0,21,72,88,650,"3,250",309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"17,252",,"1,000","16,252",4,108,290,598,"2,744","12,148","1,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"5,262.7", ,305.0,"4,957.6",1.2,32.9,88.5,182.4,837.1,"3,705.7",414.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fargo-Moorhead, ND-MN M.S.A.","173,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Cass County, ND and Clay County, MN.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Fargo, ND","89,505","3,134",,141,"2,993",0,63,16,62,363,"2,430",200, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Moorhead, MN","32,522","1,186",,53,"1,133",0,10,4,39,109,962,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,272",,232,"5,040",1,86,21,124,604,"4,111",325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,039.9",,133.8,"2,906.1",0.6,49.6,12.1,71.5,348.3,"2,370.4",187.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fayetteville, NC M.S.A.","308,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cumberland County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Fayetteville,"123,074","9,861",,779,"9,082",18,62,464,235,"2,485","5,780",817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"18,437",,"1,528","16,909",37,99,661,731,"5,103","10,585","1,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,983.7", ,495.9,"5,487.8",12.0,32.1,214.5,237.2,"1,656.2","3,435.4",396.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fayetteville-Springdale-Rogers, AR M.S.A.","313,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Benton and Washington Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fayetteville,"58,453","3,247",,201,"3,046",0,25,27,149,388,"2,509",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Springdale,"46,118","1,576",,140,"1,436",0,22,18,100,195,"1,127",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Rogers,"39,100","1,595",,93,"1,502",2,10,8,73,154,"1,282",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,416",,720,"8,696",4,85,67,564,"1,391","6,791",514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,005.5", ,229.8,"2,775.6",1.3,27.1,21.4,180.0,444.0,"2,167.6",164.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fitchburg-Leominster, MA M.S.A.","142,962",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Middlesex and Worcester Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fitchburg,"39,288","1,771",,222,"1,549",0,29,51,142,422,969,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Leominster,"41,500","1,402",,87,"1,315",1,8,14,64,215,990,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,449",,519,"3,930",2,44,74,399,923,"2,667",340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,112.0", ,363.0,"2,749.0",1.4,30.8,51.8,279.1,645.6,"1,865.5",237.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flagstaff, AZ-UT M.S.A.","126,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Coconino County, AZ and Kane County, UT.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Flagstaff, AZ","54,716","4,892",,446,"4,446",2,23,59,362,532,"3,674",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.0%,"7,102",,639,"6,463",6,63,67,503,949,"5,188",326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,200",,644,"6,556",6,64,68,506,963,"5,261",332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,693.0", ,509.2,"5,183.8",4.7,50.6,53.8,400.1,761.4,"4,159.8",262.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flint, MI M.S.A.4","438,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Genesee County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Flint4,"125,601","10,962",,"2,008","8,954",41,95,508,"1,364","2,695","4,291","1,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"24,403",,"3,089","21,314",51,256,717,"2,065","5,277","12,757","3,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,565.9",,704.5,"4,861.3",11.6,58.4,163.5,471.0,"1,203.6","2,909.6",748.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florence, AL M.S.A.","143,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Colbert and Lauderdale Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Florence,"36,405","1,819",,153,"1,666",2,12,36,103,376,"1,237",53, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.3%,"4,120",,259,"3,861",5,21,59,174,856,"2,873",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"4,239",,269,"3,970",5,22,62,180,877,"2,954",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,953.9",,187.5,"2,766.5",3.5,15.3,43.2,125.4,611.1,"2,058.5",96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florence, SC M.S.A.","127,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Florence County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Florence,"30,632","3,847",,489,"3,358",1,22,103,363,504,"2,662",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,94.9%,"8,165",,"1,169","6,996",9,76,200,884,"1,455","5,074",467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,507",,"1,205","7,302",9,77,208,911,"1,503","5,312",487, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,679.5",,946.1,"5,733.4",7.1,60.5,163.3,715.3,"1,180.1","4,170.9",382.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Collins-Loveland, CO M.S.A.","258,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Larimer County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fort Collins,"121,864","4,695",,369,"4,326",0,86,35,248,662,"3,448",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Loveland,"51,978","1,643",,77,"1,566",0,16,6,55,233,"1,260",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,572",,560,"8,012",2,135,44,379,"1,280","6,344",388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,318.6",,216.8,"3,101.8",0.8,52.3,17.0,146.7,495.5,"2,456.0",150.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Lauderdale, FL M.S.A.","1,665,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Broward County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Fort Lauderdale,"156,346","12,581",,"1,681","10,900",29,48,837,767,"2,439","7,049","1,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"77,580",,"10,073","67,507",90,485,"3,203","6,295","13,321","45,021","9,165", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,659.3", ,605.0,"4,054.3",5.4,29.1,192.4,378.1,800.0,"2,703.8",550.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Myers-Cape Coral, FL M.S.A.","452,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lee County.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fort Myers,"49,457","5,603",,"1,203","4,400",7,40,419,737,959,"2,597",844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Cape Coral,"104,936","3,670",,346,"3,324",2,13,34,297,855,"2,293",176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"21,701",,"2,943","18,758",20,136,801,"1,986","4,600","11,740","2,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,797.8",,650.7,"4,147.1",4.4,30.1,177.1,439.1,"1,017.0","2,595.6",534.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Pierce-Port St. Lucie, FL M.S.A.","327,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Martin and St. Lucie Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fort Pierce,"38,488","4,232",,869,"3,363",13,37,281,538,"1,022","2,024",317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Port St. Lucie,"91,069","2,575",,254,"2,321",5,20,34,195,556,"1,690",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,629",,"2,052","11,577",26,109,488,"1,429","3,008","7,842",727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,158.9", ,626.2,"3,532.8",7.9,33.3,148.9,436.1,917.9,"2,393.0",221.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Smith, AR-OK M.S.A.","208,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Crawford and Sebastian Counties, AR and Sequoyah County, OK.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Fort Smith, AR","80,829","7,404",,624,"6,780",8,56,132,428,"1,149","5,266",365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"10,909",,"1,187","9,722",12,88,153,934,"1,986","7,098",638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,230.3", ,569.1,"4,661.2",5.8,42.2,73.4,447.8,952.2,"3,403.1",305.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Walton Beach, FL M.S.A.","174,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Okaloosa County.),,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Fort Walton Beach,"20,491",965,,101,864,1,4,25,71,190,622,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.6%,"5,584",,619,"4,965",5,55,117,442,921,"3,812",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,812",,645,"5,167",5,56,124,460,962,"3,951",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,322.7", ,368.7,"2,954.0",2.9,32.0,70.9,263.0,550.0,"2,258.8",145.2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Wayne, IN M.S.A.","504,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Adams, Allen, DeKalb, Huntington, Wells, and Whitley Counties.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Fort Wayne,"206,886","13,291",,"1,072","12,219",23,92,609,348,"2,013","9,016","1,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,84.7%,"17,650",,"1,302","16,348",24,116,680,482,"2,886","11,977","1,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"19,413",,"1,431","17,982",25,127,706,573,"3,205","13,141","1,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,844.4",,283.4,"3,561.0",5.0,25.1,139.8,113.5,634.7,"2,602.3",324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Worth-Arlington, TX M.S.A.","1,741,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hood, Johnson, Parker, and Tarrant Counties.)",,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fort Worth,"546,828","40,466",,"3,864","36,602",67,332,"1,389","2,076","7,971","24,675","3,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Arlington,"340,525","24,551",,"2,129","22,422",15,145,687,"1,282","3,552","16,345","2,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"96,072",,"8,062","88,010",104,715,"2,439","4,804","17,124","62,034","8,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"5,517.4",,463.0,"5,054.4",6.0,41.1,140.1,275.9,983.4,"3,562.6",508.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fresno, CA M.S.A.","939,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Fresno and Madera Counties.),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fresno,"435,600","34,681",,"4,096","30,585",40,202,"1,362","2,492","5,203","18,398","6,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Madera,"44,010","2,785",,485,"2,300",9,17,127,332,518,"1,336",446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"56,113",,"7,048","49,065",75,352,"1,845","4,776","9,577","29,421","10,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,971.6",,750.1,"5,221.6",8.0,37.5,196.3,508.3,"1,019.2","3,131.0","1,071.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gainesville, FL M.S.A.","223,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Alachua County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Gainesville,"97,920","6,245",,866,"5,379",4,85,303,474,"1,294","3,469",616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,622",,"1,937","11,685",8,155,453,"1,321","2,918","7,736","1,031", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,092.0",,866.3,"5,225.8",3.6,69.3,202.6,590.8,"1,305.0","3,459.7",461.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gary, IN M.S.A.","634,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lake and Porter Counties.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Gary,"103,325","6,132",,901,"5,231",82,77,461,281,"1,742","2,249","1,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            East Chicago,"32,597","2,863",,994,"1,869",9,14,161,810,426,"1,102",341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.6%,"26,811",,"3,338","23,473",118,191,"1,073","1,956","4,197","15,619","3,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"28,017",,"3,418","24,599",119,198,"1,096","2,005","4,341","16,503","3,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,412.7", ,538.3,"3,874.4",18.7,31.2,172.6,315.8,683.7,"2,599.2",591.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glens Falls, NY M.S.A.","124,573",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Warren and Washington Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Glens Falls,"14,380",635,,41,594,0,3,8,30,98,483,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.9%,"2,719",,296,"2,423",2,22,16,256,519,"1,830",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"2,786",,301,"2,485",2,22,18,259,528,"1,879",78, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,236.4",,241.6,"1,994.8",1.6,17.7,14.4,207.9,423.8,"1,508.4",62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Forks, ND-MN M.S.A.","97,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Grand Forks County, ND and Polk County, MN.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Grand Forks, ND","48,726","2,136",,75,"2,061",1,21,11,42,261,"1,626",174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.0%,"3,306",,141,"3,165",3,40,13,85,492,"2,420",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,407",,143,"3,264",3,41,13,86,503,"2,502",259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,511.8",,147.4,"3,364.4",3.1,42.3,13.4,88.6,518.5,"2,578.9",267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Junction, CO M.S.A.","119,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Mesa County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Grand Junction,"43,123","3,563",,170,"3,393",1,20,26,123,468,"2,788",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,93.7%,"5,074",,244,"4,830",1,22,28,193,784,"3,803",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,478",,274,"5,204",1,26,35,212,833,"4,078",293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"4,587.8",,229.5,"4,358.3",0.8,21.8,29.3,177.5,697.6,"3,415.3",245.4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Rapids-Muskegon-Holland, MI M.S.A.","1,094,251",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Allegan, Kent, Muskegon, and Ottawa Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Grand Rapids,"198,842","12,026",,"2,048","9,978",12,53,552,"1,431","2,582","6,719",677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Muskegon,"40,316","3,407",,431,"2,976",1,60,82,288,561,"2,180",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Holland,"35,233","1,399",,148,"1,251",0,26,23,99,150,"1,047",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"41,699",,"4,657","37,042",23,553,880,"3,201","7,825","26,903","2,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
