Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,710.1",,118.3,"2,591.8",1.2,38.1,16.2,62.9,316.3,"2,079.9",195.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fayetteville, NC M.S.A.","298,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cumberland County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Fayetteville,"112,542","9,197",,743,"8,454",21,64,470,188,"2,424","5,320",710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"18,375",,"1,649","16,726",31,88,659,871,"5,001","10,719","1,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,157.3", ,552.6,"5,604.8",10.4,29.5,220.8,291.9,"1,675.8","3,591.9",337.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fayetteville-Springdale-Rogers, AR M.S.A.","298,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Benton and Washington Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fayetteville,"60,945","2,893",,201,"2,692",6,35,37,123,347,"2,215",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Springdale,"44,364","1,624",,106,"1,518",-,18,15,73,266,"1,146",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Rogers,"41,002","1,450",,79,"1,371",1,15,12,51,109,"1,215",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,098",,703,"8,395",13,92,67,531,"1,393","6,596",406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,046.4", ,235.4,"2,811.0",4.4,30.8,22.4,177.8,466.4,"2,208.6",135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fitchburg-Leominster, MA M.S.A.","146,637",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Middlesex and Worcester Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fitchburg,"41,545","2,123",,431,"1,692",1,31,79,320,465,"1,026",201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Leominster,"41,495","1,453",,86,"1,367",-,8,16,62,242,"1,009",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,808",,808,"4,000",1,59,101,647,938,"2,663",399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,278.8", ,551.0,"2,727.8",0.7,40.2,68.9,441.2,639.7,"1,816.0",272.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flagstaff, AZ-UT M.S.A.","126,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Coconino County, AZ and Kane County, UT.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Flagstaff, AZ","61,286","4,844",,320,"4,524",2,24,61,233,424,"3,909",191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.8%,"6,592",,486,"6,106",2,54,70,360,811,"5,052",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,876",,505,"6,371",2,56,74,373,862,"5,238",271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,448.3", ,400.1,"5,048.1",1.6,44.4,58.6,295.6,683.0,"4,150.4",214.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flint, MI M.S.A.","440,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Genesee County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Flint,"131,844","11,003",,"1,828","9,175",36,106,492,"1,194","2,424","4,624","2,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.4%,"24,140",,"2,869","21,271",47,232,741,"1,849","4,681","12,893","3,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"24,404",,"2,893","21,511",47,234,746,"1,866","4,719","13,064","3,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,538.9",,656.6,"4,882.3",10.7,53.1,169.3,423.5,"1,071.1","2,965.1",846.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florence, AL M.S.A.","139,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Colbert and Lauderdale Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Florence,"39,718","1,811",,137,"1,674",-,7,26,104,295,"1,348",31, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.2%,"3,757",,245,"3,512",2,19,44,180,669,"2,747",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,968",,265,"3,703",2,20,50,193,706,"2,890",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,848.6",,190.2,"2,658.3",1.4,14.4,35.9,138.6,506.8,"2,074.7",76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florence, SC M.S.A.","129,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Florence County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Florence,"31,030","4,231",,605,"3,626",1,12,94,498,576,"2,852",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.8%,"8,505",,"1,179","7,326",9,48,201,921,"1,671","5,226",429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,658",,"1,196","7,462",9,49,204,934,"1,692","5,332",438, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,696.1",,925.0,"5,771.1",7.0,37.9,157.8,722.4,"1,308.6","4,123.8",338.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Collins-Loveland, CO M.S.A.","251,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Larimer County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fort Collins,"120,287","4,876",,367,"4,509",-,67,37,263,679,"3,619",211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Loveland,"51,309","1,746",,106,"1,640",-,18,12,76,218,"1,362",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,005",,586,"8,419",4,113,59,410,"1,285","6,759",375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,585.3",,233.3,"3,352.0",1.6,45.0,23.5,163.2,511.6,"2,691.1",149.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Lauderdale, FL M.S.A.","1,623,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Broward County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Fort Lauderdale,"162,900","12,782",,"1,762","11,020",13,66,760,923,"2,259","7,363","1,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"77,242",,"9,793","67,449",63,524,"2,873","6,333","12,631","45,604","9,214", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,756.3", ,603.0,"4,153.3",3.9,32.3,176.9,390.0,777.8,"2,808.2",567.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Myers-Cape Coral, FL M.S.A.","423,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lee County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fort Myers,"48,920","6,050",,"1,127","4,923",3,39,444,641,"1,064","2,688","1,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Cape Coral,"98,909","3,630",,213,"3,417",-,16,32,165,736,"2,460",221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"21,300",,"2,598","18,702",16,162,821,"1,599","4,280","11,542","2,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,027.9",,613.3,"4,414.7",3.8,38.2,193.8,377.5,"1,010.3","2,724.5",679.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Pierce-Port St. Lucie, FL M.S.A.","317,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Martin and St. Lucie Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fort Pierce,"39,213","4,129",,797,"3,332",16,35,214,532,885,"2,099",348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Port St. Lucie,"86,563","2,422",,217,"2,205",3,12,20,182,523,"1,599",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,231",,"1,930","11,301",27,82,363,"1,458","2,814","7,692",795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,170.4", ,608.3,"3,562.1",8.5,25.8,114.4,459.6,887.0,"2,424.5",250.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Walton Beach, FL M.S.A.","179,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Okaloosa County.),,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Fort Walton Beach,"22,130",857,,88,769,-,6,30,52,136,589,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,92.6%,"4,774",,572,"4,202",5,78,111,378,849,"3,085",268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,547",,660,"4,887",5,82,135,438,988,"3,556",343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,084.2", ,367.0,"2,717.2",2.8,45.6,75.1,243.5,549.3,"1,977.2",190.7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Wayne, IN M.S.A.","495,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Adams, Allen, DeKalb, Huntington, Wells, and Whitley Counties.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Fort Wayne,"201,262","12,115",,820,"11,295",20,90,420,290,"1,819","8,220","1,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,81.9%,"16,018",,"1,038","14,980",23,119,470,426,"2,494","10,959","1,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"18,314",,"1,189","17,125",25,133,497,534,"2,872","12,552","1,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,695.8",,239.9,"3,455.9",5.0,26.8,100.3,107.8,579.6,"2,533.0",343.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Worth-Arlington, TX M.S.A.","1,694,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hood, Johnson, Parker, and Tarrant Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fort Worth,"522,612","38,143",,"3,816","34,327",61,325,"1,314","2,116","7,251","22,991","4,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Arlington,"324,533","21,480",,"2,157","19,323",14,96,595,"1,452","3,141","14,106","2,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"87,809",,"7,944","79,865",99,657,"2,238","4,950","15,532","56,091","8,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"5,182.5",,468.9,"4,713.6",5.8,38.8,132.1,292.1,916.7,"3,310.5",486.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fresno, CA M.S.A.","899,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Fresno and Madera Counties.),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fresno,"413,000","32,868",,"3,843","29,025",24,161,"1,304","2,354","4,514","18,732","5,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Madera,"38,203","2,444",,607,"1,837",5,21,122,459,438,"1,040",359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"52,847",,"6,845","46,002",48,316,"1,752","4,729","8,496","29,230","8,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,877.7",,761.3,"5,116.4",5.3,35.1,194.9,526.0,944.9,"3,251.0",920.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gainesville, FL M.S.A.","209,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Alachua County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Gainesville,"97,611","6,771",,983,"5,788",6,74,271,632,"1,269","4,048",471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"14,741",,"2,095","12,646",9,144,423,"1,519","2,814","8,876",956, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,022.0",,998.0,"6,024.0",4.3,68.6,201.5,723.6,"1,340.5","4,228.2",455.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glens Falls, NY M.S.A.","126,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Warren and Washington Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Glens Falls,"15,022",600,,40,560,-,3,2,35,93,459,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,94.3%,"2,826",,313,"2,513",-,24,10,279,521,"1,918",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,018",,328,"2,690",-,25,15,288,546,"2,058",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,380.3",,258.7,"2,121.6",-,19.7,11.8,227.1,430.6,"1,623.1",67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goldsboro, NC M.S.A.","117,530",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Wayne County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Goldsboro,"46,902","3,568",,442,"3,126",4,5,135,298,660,"2,226",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,851",,672,"5,179",6,14,174,478,"1,410","3,383",386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,978.3",,571.8,"4,406.5",5.1,11.9,148.0,406.7,"1,199.7","2,878.4",328.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Forks, ND-MN M.S.A.7","97,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Grand Forks County, ND and Polk County, MN.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Grand Forks, ND","46,586","2,160",,85,"2,075",1,28,10,46,262,"1,630",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.3%,"3,338",,168,"3,170",2,62,16,88,512,"2,380",278, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,435",,170,"3,265",2,63,16,89,521,"2,461",283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,531.8",,174.8,"3,357.0",2.1,64.8,16.5,91.5,535.7,"2,530.3",291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Junction, CO M.S.A.","122,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Mesa County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Grand Junction,"43,346","3,028",,151,"2,877",6,17,14,114,411,"2,364",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.5%,"4,747",,244,"4,503",6,30,20,188,714,"3,623",166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"4,774",,245,"4,529",6,30,20,189,718,"3,642",169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"3,909.7",,200.6,"3,709.1",4.9,24.6,16.4,154.8,588.0,"2,982.7",138.4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Rapids-Muskegon-Holland, MI M.S.A.","1,060,056",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Allegan, Kent, Muskegon, and Ottawa Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Grand Rapids,"186,410","12,945",,"2,114","10,831",17,57,594,"1,446","2,612","7,359",860,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Muskegon,"39,699","3,521",,381,"3,140",1,28,82,270,634,"2,078",428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Holland,"33,907","1,478",,113,"1,365",-,24,8,81,145,"1,163",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"41,344",,"4,539","36,805",25,513,938,"3,063","7,306","26,670","2,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"41,366",,"4,540","36,826",25,513,938,"3,064","7,309","26,685","2,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,902.2",,428.3,"3,474.0",2.4,48.4,88.5,289.0,689.5,"2,517.3",267.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Falls, MT M.S.A.5","80,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cascade County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Great Falls,"57,579","4,158",,316,"3,842",1,14,33,268,340,"3,376",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,,,,"4,284",2,16,36,,408,"3,717",159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,,,,"5,354.7",2.5,20.0,45.0,,510.0,"4,646.0",198.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greeley, CO M.S.A.","176,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Weld County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Greeley,"77,176","4,162",,270,"3,892",1,43,39,187,620,"3,097",175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,90.3%,"7,049",,555,"6,494",3,64,59,429,"1,281","4,828",385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,896",,617,"7,279",4,71,74,468,"1,389","5,411",479, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,481.6",,350.2,"4,131.4",2.3,40.3,42.0,265.6,788.4,"3,071.2",271.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Bay, WI M.S.A.","216,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brown County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Green Bay,"100,483 ","3,478",,312,"3,166",1,36,64,211,658,"2,321",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,179",,372,"5,807",2,61,74,235,970,"4,562",275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,855.6",,171.9,"2,683.7",0.9,28.2,34.2,108.6,448.3,"2,108.3",127.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greensboro-Winston-Salem-High Point, NC M.S.A.","1,241,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Alamance, Davidson, Davie, Forsyth, Guilford, Randolph, Stokes, and Yadkin Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Greensboro,"209,957","14,973",,"1,892","13,081",21,89,895,887,"2,964","9,008","1,109", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Winston-Salem,"176,841","16,754",,"2,406","14,348",20,117,851,"1,418","3,375","9,624","1,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            High Point,"80,964","6,621",,739,"5,882",9,33,271,426,"1,540","3,866",476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Burlington,"44,366","3,206",,266,"2,940",-,21,73,172,517,"2,268",155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.2%,"64,012",,"6,854","57,158",73,366,"2,449","3,966","14,004","39,001","4,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"64,554",,"6,892","57,662",73,368,"2,461","3,990","14,103","39,380","4,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,199.3",,555.1,"4,644.2",5.9,29.6,198.2,321.4,"1,135.9","3,171.8",336.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, NC M.S.A.","132,196", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Pitt County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Greenville,"61,058","6,231",,527,"5,704",8,18,144,357,"1,169","4,192",343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,278",,875,"8,403",15,39,188,633,"2,060","5,802",541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,018.4",,661.9,"6,356.5",11.3,29.5,142.2,478.8,"1,558.3","4,388.9",409.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hagerstown, MD M.S.A.","130,876", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Washington County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Hagerstown,"35,447","1,740",,217,"1,523",2,9,54,152,318,"1,062",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,600",,439,"3,161",6,21,68,344,670,"2,184",307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,750.7",,335.4,"2,415.3",4.6,16.0,52.0,262.8,511.9,"1,668.8",234.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamilton-Middletown, OH M.S.A.","334,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Butler County.),, ,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,, , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Hamilton,"61,423","4,659",,558,"4,101",7,71,154,326,"1,030","2,648",423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Middletown,"53,376","3,238",,120,"3,118",1,18,59,42,557,"2,433",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.5%,"14,593",,"1,067","13,526",10,141,281,635,"2,659","10,055",812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"15,091",,"1,093","13,998",10,145,290,648,"2,729","10,429",840,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,513.1", ,326.9,"4,186.3",3.0,43.4,86.7,193.8,816.1,"3,118.9",251.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartford, CT M.S.A.","974,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Hartford, Litchfield, Middlesex, New London, Tolland, and Windham Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,, , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Hartford,"133,199","11,220",,"1,490","9,730",17,53,862,558,"1,630","6,001","2,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Middletown,"45,657","1,485",,48,"1,437",1,5,25,17,234,"1,040",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"36,531",,"3,171","33,360",27,174,"1,447","1,523","5,624","23,306","4,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,750.1",,325.5,"3,424.6",2.8,17.9,148.5,156.3,577.3,"2,392.5",454.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hickory-Morganton-Lenoir, NC M.S.A.","342,793", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Alexander, Burke, Caldwell, and Catawba Counties.)",,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Hickory,"35,106","3,134",,229,"2,905",3,17,96,113,611,"2,128",166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Morganton,"16,513",961,,73,888,-,3,15,55,167,700,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lenoir,"17,572",915,,81,834,2,3,20,56,174,622,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
